iso,threshold,scenario,year,growth_level,growth_factor,annual_demand_mwh,mix_clean_firm,mix_solar,mix_wind,mix_ccs_ccgt,mix_hydro,procurement_pct,hourly_match_score,battery_dispatch_pct,battery8_dispatch_pct,ldes_dispatch_pct,tranche_cf_existing_twh,tranche_uprate_twh,tranche_geo_twh,tranche_new_cf_twh,tranche_nuclear_newbuild_twh,tranche_ccs_tranche_twh,ra_gas_needed_mw,ra_existing_gas_mw,ra_new_gas_mw,cost_total_cost,cost_effective_cost,cost_incremental
ERCOT,90.0,LLLL_L_N_L1_X,2040,Low,1.345868,656810666.0,0,0,100,0,0,130,90.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,104084,55000,49084,44.99,49.65,29.65
ERCOT,90.0,LLLL_L_N_L1_X,2040,Medium,1.675349,817603736.0,0,0,100,0,0,130,90.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,101209,55000,46209,43.5,48.01,28.01
ERCOT,90.0,LLLL_L_N_L1_X,2040,High,2.232476,1089493178.0,0,0,100,0,0,130,90.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,96347,55000,41347,41.98,46.33,26.33
ERCOT,90.0,LLLL_L_N_L0_X,2040,Low,1.345868,656810666.0,0,0,100,0,0,130,90.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,104084,55000,49084,44.99,49.65,29.65
ERCOT,90.0,LLLL_L_N_L0_X,2040,Medium,1.675349,817603736.0,0,0,100,0,0,130,90.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,101209,55000,46209,43.5,48.01,28.01
ERCOT,90.0,LLLL_L_N_L0_X,2040,High,2.232476,1089493178.0,0,0,100,0,0,130,90.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,96347,55000,41347,41.98,46.33,26.33
ERCOT,90.0,LLLL_L_N_M1_X,2040,Low,1.345868,656810666.0,0,0,100,0,0,130,90.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,104084,55000,49084,44.99,49.65,29.65
ERCOT,90.0,LLLL_L_N_M1_X,2040,Medium,1.675349,817603736.0,0,0,100,0,0,130,90.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,101209,55000,46209,43.5,48.01,28.01
ERCOT,90.0,LLLL_L_N_M1_X,2040,High,2.232476,1089493178.0,0,0,100,0,0,130,90.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,96347,55000,41347,41.98,46.33,26.33
ERCOT,90.0,LLLL_L_N_M0_X,2040,Low,1.345868,656810666.0,0,0,100,0,0,130,90.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,104084,55000,49084,44.99,49.65,29.65
ERCOT,90.0,LLLL_L_N_M0_X,2040,Medium,1.675349,817603736.0,0,0,100,0,0,130,90.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,101209,55000,46209,43.5,48.01,28.01
ERCOT,90.0,LLLL_L_N_M0_X,2040,High,2.232476,1089493178.0,0,0,100,0,0,130,90.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,96347,55000,41347,41.98,46.33,26.33
ERCOT,90.0,LLLL_L_N_H1_X,2040,Low,1.345868,656810666.0,0,0,100,0,0,130,90.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,104084,55000,49084,44.99,49.65,29.65
ERCOT,90.0,LLLL_L_N_H1_X,2040,Medium,1.675349,817603736.0,0,0,100,0,0,130,90.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,101209,55000,46209,43.5,48.01,28.01
ERCOT,90.0,LLLL_L_N_H1_X,2040,High,2.232476,1089493178.0,0,0,100,0,0,130,90.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,96347,55000,41347,41.98,46.33,26.33
ERCOT,90.0,LLLL_L_N_H0_X,2040,Low,1.345868,656810666.0,0,0,100,0,0,130,90.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,104084,55000,49084,44.99,49.65,29.65
ERCOT,90.0,LLLL_L_N_H0_X,2040,Medium,1.675349,817603736.0,0,0,100,0,0,130,90.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,101209,55000,46209,43.5,48.01,28.01
ERCOT,90.0,LLLL_L_N_H0_X,2040,High,2.232476,1089493178.0,0,0,100,0,0,130,90.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,96347,55000,41347,41.98,46.33,26.33
ERCOT,90.0,LLLL_L_L_L1_X,2040,Low,1.345868,656810666.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,90234,55000,35234,47.16,50.61,30.61
ERCOT,90.0,LLLL_L_L_L1_X,2040,Medium,1.675349,817603736.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,83968,55000,28968,46.2,49.57,29.57
ERCOT,90.0,LLLL_L_L_L1_X,2040,High,2.232476,1089493178.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,73374,55000,18374,45.21,48.52,28.52
ERCOT,90.0,LLLL_L_L_L0_X,2040,Low,1.345868,656810666.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,90234,55000,35234,47.16,50.61,30.61
ERCOT,90.0,LLLL_L_L_L0_X,2040,Medium,1.675349,817603736.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,83968,55000,28968,46.2,49.57,29.57
ERCOT,90.0,LLLL_L_L_L0_X,2040,High,2.232476,1089493178.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,73374,55000,18374,45.21,48.52,28.52
ERCOT,90.0,LLLL_L_L_M1_X,2040,Low,1.345868,656810666.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,90234,55000,35234,47.16,50.61,30.61
ERCOT,90.0,LLLL_L_L_M1_X,2040,Medium,1.675349,817603736.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,83968,55000,28968,46.2,49.57,29.57
ERCOT,90.0,LLLL_L_L_M1_X,2040,High,2.232476,1089493178.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,73374,55000,18374,45.21,48.52,28.52
ERCOT,90.0,LLLL_L_L_M0_X,2040,Low,1.345868,656810666.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,90234,55000,35234,47.16,50.61,30.61
ERCOT,90.0,LLLL_L_L_M0_X,2040,Medium,1.675349,817603736.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,83968,55000,28968,46.2,49.57,29.57
ERCOT,90.0,LLLL_L_L_M0_X,2040,High,2.232476,1089493178.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,73374,55000,18374,45.21,48.52,28.52
ERCOT,90.0,LLLL_L_L_H1_X,2040,Low,1.345868,656810666.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,90234,55000,35234,47.16,50.61,30.61
ERCOT,90.0,LLLL_L_L_H1_X,2040,Medium,1.675349,817603736.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,83968,55000,28968,46.2,49.57,29.57
ERCOT,90.0,LLLL_L_L_H1_X,2040,High,2.232476,1089493178.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,73374,55000,18374,45.21,48.52,28.52
ERCOT,90.0,LLLL_L_L_H0_X,2040,Low,1.345868,656810666.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,90234,55000,35234,47.16,50.61,30.61
ERCOT,90.0,LLLL_L_L_H0_X,2040,Medium,1.675349,817603736.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,83968,55000,28968,46.2,49.57,29.57
ERCOT,90.0,LLLL_L_L_H0_X,2040,High,2.232476,1089493178.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,73374,55000,18374,45.21,48.52,28.52
ERCOT,90.0,LLLL_L_M_L1_X,2040,Low,1.345868,656810666.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,90234,55000,35234,49.18,52.77,32.77
ERCOT,90.0,LLLL_L_M_L1_X,2040,Medium,1.675349,817603736.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,83968,55000,28968,48.36,51.89,31.89
ERCOT,90.0,LLLL_L_M_L1_X,2040,High,2.232476,1089493178.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,73374,55000,18374,47.52,51.0,31.0
ERCOT,90.0,LLLL_L_M_L0_X,2040,Low,1.345868,656810666.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,90234,55000,35234,49.18,52.77,32.77
ERCOT,90.0,LLLL_L_M_L0_X,2040,Medium,1.675349,817603736.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,83968,55000,28968,48.36,51.89,31.89
ERCOT,90.0,LLLL_L_M_L0_X,2040,High,2.232476,1089493178.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,73374,55000,18374,47.52,51.0,31.0
ERCOT,90.0,LLLL_L_M_M1_X,2040,Low,1.345868,656810666.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,90234,55000,35234,49.18,52.77,32.77
ERCOT,90.0,LLLL_L_M_M1_X,2040,Medium,1.675349,817603736.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,83968,55000,28968,48.36,51.89,31.89
ERCOT,90.0,LLLL_L_M_M1_X,2040,High,2.232476,1089493178.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,73374,55000,18374,47.52,51.0,31.0
ERCOT,90.0,LLLL_L_M_M0_X,2040,Low,1.345868,656810666.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,90234,55000,35234,49.18,52.77,32.77
ERCOT,90.0,LLLL_L_M_M0_X,2040,Medium,1.675349,817603736.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,83968,55000,28968,48.36,51.89,31.89
ERCOT,90.0,LLLL_L_M_M0_X,2040,High,2.232476,1089493178.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,73374,55000,18374,47.52,51.0,31.0
ERCOT,90.0,LLLL_L_M_H1_X,2040,Low,1.345868,656810666.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,90234,55000,35234,49.18,52.77,32.77
ERCOT,90.0,LLLL_L_M_H1_X,2040,Medium,1.675349,817603736.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,83968,55000,28968,48.36,51.89,31.89
ERCOT,90.0,LLLL_L_M_H1_X,2040,High,2.232476,1089493178.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,73374,55000,18374,47.52,51.0,31.0
ERCOT,90.0,LLLL_L_M_H0_X,2040,Low,1.345868,656810666.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,90234,55000,35234,49.18,52.77,32.77
ERCOT,90.0,LLLL_L_M_H0_X,2040,Medium,1.675349,817603736.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,83968,55000,28968,48.36,51.89,31.89
ERCOT,90.0,LLLL_L_M_H0_X,2040,High,2.232476,1089493178.0,0,66,34,0,0,117,93.19,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,73374,55000,18374,47.52,51.0,31.0
ERCOT,90.0,LLLL_L_H_L1_X,2040,Low,1.345868,656810666.0,1,70,29,0,0,117,92.52,0,0,0,7.685,0.0,0.0,0.0,0.0,0.0,88460,55000,33460,51.38,55.53,35.53
ERCOT,90.0,LLLL_L_H_L1_X,2040,Medium,1.675349,817603736.0,1,70,29,0,0,117,92.52,0,0,0,9.566,0.0,0.0,0.0,0.0,0.0,81760,55000,26760,50.74,54.84,34.84
ERCOT,90.0,LLLL_L_H_L1_X,2040,High,2.232476,1089493178.0,1,70,29,0,0,117,92.52,0,0,0,12.747,0.0,0.0,0.0,0.0,0.0,70431,55000,15431,50.09,54.13,34.13
ERCOT,90.0,LLLL_L_H_L0_X,2040,Low,1.345868,656810666.0,1,70,29,0,0,117,92.52,0,0,0,7.685,0.0,0.0,0.0,0.0,0.0,88460,55000,33460,51.38,55.53,35.53
