iso,track,threshold,scenario,year,growth_level,growth_factor,annual_demand_mwh,mix_clean_firm,mix_solar,mix_wind,mix_ccs_ccgt,mix_hydro,procurement_pct,hourly_match_score,battery_dispatch_pct,battery8_dispatch_pct,ldes_dispatch_pct,tranche_cf_existing_twh,tranche_uprate_twh,tranche_geo_twh,tranche_new_cf_twh,tranche_nuclear_newbuild_twh,tranche_ccs_tranche_twh,ra_gas_needed_mw,ra_existing_gas_mw,ra_new_gas_mw,cost_total_cost,cost_effective_cost,cost_incremental
ERCOT,replace,100.0,LLLL_L_N_L1_X,2050,Low,1.640606,800648537.0,0,42,58,0,0,135,99.53,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,87221,55000,32221,48.88,49.11,29.11
ERCOT,replace,100.0,LLLL_L_N_L1_X,2050,Medium,2.363245,1153310817.0,0,42,58,0,0,135,99.53,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,74621,55000,19621,47.49,47.71,27.71
ERCOT,replace,100.0,LLLL_L_N_L1_X,2050,High,3.813392,1861011734.0,0,42,58,0,0,135,99.53,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,49336,49336,0,46.52,46.74,26.74
ERCOT,replace,100.0,LLLL_L_N_L0_X,2050,Low,1.640606,800648537.0,0,42,58,0,0,135,99.53,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,87221,55000,32221,48.88,49.11,29.11
ERCOT,replace,100.0,LLLL_L_N_L0_X,2050,Medium,2.363245,1153310817.0,0,42,58,0,0,135,99.53,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,74621,55000,19621,47.49,47.71,27.71
ERCOT,replace,100.0,LLLL_L_N_L0_X,2050,High,3.813392,1861011734.0,0,42,58,0,0,135,99.53,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,49336,49336,0,46.52,46.74,26.74
ERCOT,replace,100.0,LLLL_L_N_M1_X,2050,Low,1.640606,800648537.0,0,42,58,0,0,135,99.53,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,87221,55000,32221,48.88,49.11,29.11
ERCOT,replace,100.0,LLLL_L_N_M1_X,2050,Medium,2.363245,1153310817.0,0,42,58,0,0,135,99.53,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,74621,55000,19621,47.49,47.71,27.71
ERCOT,replace,100.0,LLLL_L_N_M1_X,2050,High,3.813392,1861011734.0,0,42,58,0,0,135,99.53,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,49336,49336,0,46.52,46.74,26.74
ERCOT,replace,100.0,LLLL_L_N_M0_X,2050,Low,1.640606,800648537.0,0,42,58,0,0,135,99.53,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,87221,55000,32221,48.88,49.11,29.11
