iso,track,threshold,scenario,year,growth_level,growth_factor,annual_demand_mwh,mix_clean_firm,mix_solar,mix_wind,mix_ccs_ccgt,mix_hydro,procurement_pct,hourly_match_score,battery_dispatch_pct,battery8_dispatch_pct,ldes_dispatch_pct,tranche_cf_existing_twh,tranche_uprate_twh,tranche_geo_twh,tranche_new_cf_twh,tranche_nuclear_newbuild_twh,tranche_ccs_tranche_twh,ra_gas_needed_mw,ra_existing_gas_mw,ra_new_gas_mw,cost_total_cost,cost_effective_cost,cost_incremental
ERCOT,newbuild,75.0,LLLL_L_N_L1_X,2036,Low,1.243374,606791530.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,11.428,0.0,9.725,100538,55000,45538,28.56,38.06,18.06
ERCOT,newbuild,75.0,LLLL_L_N_L1_X,2036,Medium,1.45997,712494421.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,20.73,0.0,19.027,97875,55000,42875,28.01,37.33,17.33
ERCOT,newbuild,75.0,LLLL_L_N_L1_X,2036,High,1.802092,879457135.0,11,8,81,0,0,80,75.03,0,0,0,41.97,1.703,0.0,35.423,0.0,33.72,95022,55000,40022,27.25,36.32,16.32
ERCOT,newbuild,75.0,LLLL_L_N_L0_X,2036,Low,1.243374,606791530.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,11.428,9.725,0.0,100538,55000,45538,28.81,38.4,18.4
ERCOT,newbuild,75.0,LLLL_L_N_L0_X,2036,Medium,1.45997,712494421.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,20.73,19.027,0.0,97875,55000,42875,28.44,37.9,17.9
ERCOT,newbuild,75.0,LLLL_L_N_L0_X,2036,High,1.802092,879457135.0,11,8,81,0,0,80,75.03,0,0,0,41.97,1.703,0.0,35.423,33.72,0.0,95022,55000,40022,27.86,37.14,17.14
ERCOT,newbuild,75.0,LLLL_L_N_M1_X,2036,Low,1.243374,606791530.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,11.428,9.725,0.0,100538,55000,45538,28.81,38.4,18.4
ERCOT,newbuild,75.0,LLLL_L_N_M1_X,2036,Medium,1.45997,712494421.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,20.73,19.027,0.0,97875,55000,42875,28.44,37.9,17.9
ERCOT,newbuild,75.0,LLLL_L_N_M1_X,2036,High,1.802092,879457135.0,11,8,81,0,0,80,75.03,0,0,0,41.97,1.703,0.0,35.423,33.72,0.0,95022,55000,40022,27.86,37.14,17.14
ERCOT,newbuild,75.0,LLLL_L_N_M0_X,2036,Low,1.243374,606791530.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,11.428,9.725,0.0,100538,55000,45538,28.81,38.4,18.4
ERCOT,newbuild,75.0,LLLL_L_N_M0_X,2036,Medium,1.45997,712494421.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,20.73,19.027,0.0,97875,55000,42875,28.44,37.9,17.9
ERCOT,newbuild,75.0,LLLL_L_N_M0_X,2036,High,1.802092,879457135.0,11,8,81,0,0,80,75.03,0,0,0,41.97,1.703,0.0,35.423,33.72,0.0,95022,55000,40022,27.86,37.14,17.14
ERCOT,newbuild,75.0,LLLL_L_N_H1_X,2036,Low,1.243374,606791530.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,11.428,9.725,0.0,100538,55000,45538,28.81,38.4,18.4
ERCOT,newbuild,75.0,LLLL_L_N_H1_X,2036,Medium,1.45997,712494421.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,20.73,19.027,0.0,97875,55000,42875,28.44,37.9,17.9
ERCOT,newbuild,75.0,LLLL_L_N_H1_X,2036,High,1.802092,879457135.0,11,8,81,0,0,80,75.03,0,0,0,41.97,1.703,0.0,35.423,33.72,0.0,95022,55000,40022,27.86,37.14,17.14
ERCOT,newbuild,75.0,LLLL_L_N_H0_X,2036,Low,1.243374,606791530.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,11.428,9.725,0.0,100538,55000,45538,28.81,38.4,18.4
ERCOT,newbuild,75.0,LLLL_L_N_H0_X,2036,Medium,1.45997,712494421.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,20.73,19.027,0.0,97875,55000,42875,28.44,37.9,17.9
ERCOT,newbuild,75.0,LLLL_L_N_H0_X,2036,High,1.802092,879457135.0,11,8,81,0,0,80,75.03,0,0,0,41.97,1.703,0.0,35.423,33.72,0.0,95022,55000,40022,27.86,37.14,17.14
ERCOT,newbuild,75.0,LLLL_L_L_L1_X,2036,Low,1.243374,606791530.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,11.428,0.0,9.725,100538,55000,45538,29.79,39.7,19.7
ERCOT,newbuild,75.0,LLLL_L_L_L1_X,2036,Medium,1.45997,712494421.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,20.73,0.0,19.027,97875,55000,42875,29.36,39.12,19.12
ERCOT,newbuild,75.0,LLLL_L_L_L1_X,2036,High,1.802092,879457135.0,11,8,81,0,0,80,75.03,0,0,0,41.97,1.703,0.0,35.423,0.0,33.72,95022,55000,40022,28.84,38.44,18.44
ERCOT,newbuild,75.0,LLLL_L_L_L0_X,2036,Low,1.243374,606791530.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,11.428,9.725,0.0,100538,55000,45538,30.05,40.04,20.04
ERCOT,newbuild,75.0,LLLL_L_L_L0_X,2036,Medium,1.45997,712494421.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,20.73,19.027,0.0,97875,55000,42875,29.79,39.69,19.69
ERCOT,newbuild,75.0,LLLL_L_L_L0_X,2036,High,1.802092,879457135.0,11,8,81,0,0,80,75.03,0,0,0,41.97,1.703,0.0,35.423,33.72,0.0,95022,55000,40022,29.45,39.26,19.26
ERCOT,newbuild,75.0,LLLL_L_L_M1_X,2036,Low,1.243374,606791530.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,11.428,9.725,0.0,100538,55000,45538,30.05,40.04,20.04
ERCOT,newbuild,75.0,LLLL_L_L_M1_X,2036,Medium,1.45997,712494421.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,20.73,19.027,0.0,97875,55000,42875,29.79,39.69,19.69
ERCOT,newbuild,75.0,LLLL_L_L_M1_X,2036,High,1.802092,879457135.0,11,8,81,0,0,80,75.03,0,0,0,41.97,1.703,0.0,35.423,33.72,0.0,95022,55000,40022,29.45,39.26,19.26
ERCOT,newbuild,75.0,LLLL_L_L_M0_X,2036,Low,1.243374,606791530.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,11.428,9.725,0.0,100538,55000,45538,30.05,40.04,20.04
ERCOT,newbuild,75.0,LLLL_L_L_M0_X,2036,Medium,1.45997,712494421.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,20.73,19.027,0.0,97875,55000,42875,29.79,39.69,19.69
ERCOT,newbuild,75.0,LLLL_L_L_M0_X,2036,High,1.802092,879457135.0,11,8,81,0,0,80,75.03,0,0,0,41.97,1.703,0.0,35.423,33.72,0.0,95022,55000,40022,29.45,39.26,19.26
ERCOT,newbuild,75.0,LLLL_L_L_H1_X,2036,Low,1.243374,606791530.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,11.428,9.725,0.0,100538,55000,45538,30.05,40.04,20.04
ERCOT,newbuild,75.0,LLLL_L_L_H1_X,2036,Medium,1.45997,712494421.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,20.73,19.027,0.0,97875,55000,42875,29.79,39.69,19.69
ERCOT,newbuild,75.0,LLLL_L_L_H1_X,2036,High,1.802092,879457135.0,11,8,81,0,0,80,75.03,0,0,0,41.97,1.703,0.0,35.423,33.72,0.0,95022,55000,40022,29.45,39.26,19.26
ERCOT,newbuild,75.0,LLLL_L_L_H0_X,2036,Low,1.243374,606791530.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,11.428,9.725,0.0,100538,55000,45538,30.05,40.04,20.04
ERCOT,newbuild,75.0,LLLL_L_L_H0_X,2036,Medium,1.45997,712494421.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,20.73,19.027,0.0,97875,55000,42875,29.79,39.69,19.69
ERCOT,newbuild,75.0,LLLL_L_L_H0_X,2036,High,1.802092,879457135.0,11,8,81,0,0,80,75.03,0,0,0,41.97,1.703,0.0,35.423,33.72,0.0,95022,55000,40022,29.45,39.26,19.26
ERCOT,newbuild,75.0,LLLL_L_M_L1_X,2036,Low,1.243374,606791530.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,11.428,0.0,9.725,100538,55000,45538,31.03,41.35,21.35
ERCOT,newbuild,75.0,LLLL_L_M_L1_X,2036,Medium,1.45997,712494421.0,11,15,74,0,0,80,75.04,0,0,0,41.97,1.703,0.0,20.73,0.0,19.027,97875,55000,42875,30.73,40.95,20.95
