iso,track,threshold,scenario,year,growth_level,growth_factor,annual_demand_mwh,mix_clean_firm,mix_solar,mix_wind,mix_ccs_ccgt,mix_hydro,procurement_pct,hourly_match_score,battery_dispatch_pct,battery8_dispatch_pct,ldes_dispatch_pct,tranche_cf_existing_twh,tranche_uprate_twh,tranche_geo_twh,tranche_new_cf_twh,tranche_nuclear_newbuild_twh,tranche_ccs_tranche_twh,ra_gas_needed_mw,ra_existing_gas_mw,ra_new_gas_mw,cost_total_cost,cost_effective_cost,cost_incremental
ERCOT,newbuild,97.5,LLLL_L_N_L1_X,2048,Low,1.576899,769558379.0,5,55,40,0,0,130,97.94,0,0,0,41.97,1.703,0.0,8.052,0.0,6.349,80489,55000,25489,46.56,47.53,27.53
ERCOT,newbuild,97.5,LLLL_L_N_L1_X,2048,Medium,2.206114,1076627989.0,5,55,40,0,0,130,97.94,0,0,0,41.97,1.703,0.0,28.011,0.0,26.308,66388,55000,11388,45.73,46.69,26.69
ERCOT,newbuild,97.5,LLLL_L_N_L1_X,2048,High,3.426152,1672030488.0,2,43,55,0,0,135,99.06,0,0,0,41.97,1.703,0.0,3.175,0.0,1.472,51949,51949,0,45.16,45.59,25.59
ERCOT,newbuild,97.5,LLLL_L_N_L0_X,2048,Low,1.576899,769558379.0,5,55,40,0,0,130,97.94,0,0,0,41.97,1.703,0.0,8.052,6.349,0.0,80489,55000,25489,46.69,47.67,27.67
ERCOT,newbuild,97.5,LLLL_L_N_L0_X,2048,Medium,2.206114,1076627989.0,5,55,40,0,0,130,97.94,0,0,0,41.97,1.703,0.0,28.011,26.308,0.0,66388,55000,11388,46.12,47.09,27.09
ERCOT,newbuild,97.5,LLLL_L_N_L0_X,2048,High,3.426152,1672030488.0,2,43,55,0,0,135,99.06,0,0,0,41.97,1.703,0.0,3.175,1.472,0.0,51949,51949,0,45.17,45.6,25.6
ERCOT,newbuild,97.5,LLLL_L_N_M1_X,2048,Low,1.576899,769558379.0,5,55,40,0,0,130,97.94,0,0,0,41.97,1.703,0.0,8.052,6.349,0.0,80489,55000,25489,46.69,47.67,27.67
ERCOT,newbuild,97.5,LLLL_L_N_M1_X,2048,Medium,2.206114,1076627989.0,5,55,40,0,0,130,97.94,0,0,0,41.97,1.703,0.0,28.011,26.308,0.0,66388,55000,11388,46.12,47.09,27.09
ERCOT,newbuild,97.5,LLLL_L_N_M1_X,2048,High,3.426152,1672030488.0,2,43,55,0,0,135,99.06,0,0,0,41.97,1.703,0.0,3.175,1.472,0.0,51949,51949,0,45.17,45.6,25.6
ERCOT,newbuild,97.5,LLLL_L_N_M0_X,2048,Low,1.576899,769558379.0,5,55,40,0,0,130,97.94,0,0,0,41.97,1.703,0.0,8.052,6.349,0.0,80489,55000,25489,46.69,47.67,27.67
