iso,threshold,scenario,year,growth_level,growth_factor,annual_demand_mwh,mix_clean_firm,mix_solar,mix_wind,mix_ccs_ccgt,mix_hydro,procurement_pct,hourly_match_score,battery_dispatch_pct,battery8_dispatch_pct,ldes_dispatch_pct,tranche_cf_existing_twh,tranche_uprate_twh,tranche_geo_twh,tranche_new_cf_twh,tranche_nuclear_newbuild_twh,tranche_ccs_tranche_twh,ra_gas_needed_mw,ra_existing_gas_mw,ra_new_gas_mw,cost_total_cost,cost_effective_cost,cost_incremental,no45q_total_cost,no45q_effective_cost,no45q_incremental,no45q_wholesale,ra_peak_demand_mw,ra_ra_peak_mw,ra_clean_peak_capacity_mw,ra_gas_backup_needed_mw,ra_existing_gas_used_mw,ra_new_gas_build_mw,ra_existing_gas_cost_per_mwh,ra_new_gas_cost_per_mwh,ra_gas_backup_cost_per_mwh,ra_total_system_cost_per_mwh,ra_clean_coverage_pct,co2_total_abated_tons,co2_rate_per_mwh,co2_emission_rate_tco2_mwh
ERCOT,75.0,LLLL_L_N_L1_X,2036,Low,1.243374,606791530.0,5,13,82,0,0,80,75.02,0,0,0,24.272,0.0,0.0,0.0,0.0,0.0,104410,55000,49410,29.09,38.77,18.77,20.66,27.54,7.54,20,103942,119534,9476,132600,55000,77600,1.18,11.38,12.56,51.33,7.9,323302502.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_N_L1_X,2036,Medium,1.45997,712494421.0,5,13,82,0,0,80,75.02,0,0,0,28.5,0.0,0.0,0.0,0.0,0.0,102422,55000,47422,28.06,37.4,17.4,21.13,28.17,8.17,20,122049,140356,11127,155699,55000,100699,1.0,12.58,13.58,50.98,7.9,379621694.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_N_L1_X,2036,High,1.802092,879457135.0,5,13,82,0,0,80,75.02,0,0,0,35.178,0.0,0.0,0.0,0.0,0.0,99280,55000,44280,27.09,36.11,16.11,21.8,29.06,9.06,20,150649,173247,13734,192184,55000,137184,0.81,13.88,14.7,50.81,7.9,468580522.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_N_L0_X,2036,Low,1.243374,606791530.0,5,13,82,0,0,80,75.02,0,0,0,24.272,0.0,0.0,0.0,0.0,0.0,104410,55000,49410,29.09,38.77,18.77,20.66,27.54,7.54,20,103942,119534,9476,132600,55000,77600,1.18,11.38,12.56,51.33,7.9,323302502.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_N_L0_X,2036,Medium,1.45997,712494421.0,5,13,82,0,0,80,75.02,0,0,0,28.5,0.0,0.0,0.0,0.0,0.0,102422,55000,47422,28.06,37.4,17.4,21.13,28.17,8.17,20,122049,140356,11127,155699,55000,100699,1.0,12.58,13.58,50.98,7.9,379621694.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_N_L0_X,2036,High,1.802092,879457135.0,5,13,82,0,0,80,75.02,0,0,0,35.178,0.0,0.0,0.0,0.0,0.0,99280,55000,44280,27.09,36.11,16.11,21.8,29.06,9.06,20,150649,173247,13734,192184,55000,137184,0.81,13.88,14.7,50.81,7.9,468580522.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_N_M1_X,2036,Low,1.243374,606791530.0,5,13,82,0,0,80,75.02,0,0,0,24.272,0.0,0.0,0.0,0.0,0.0,104410,55000,49410,29.09,38.77,18.77,20.66,27.54,7.54,20,103942,119534,9476,132600,55000,77600,1.18,11.38,12.56,51.33,7.9,323302502.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_N_M1_X,2036,Medium,1.45997,712494421.0,5,13,82,0,0,80,75.02,0,0,0,28.5,0.0,0.0,0.0,0.0,0.0,102422,55000,47422,28.06,37.4,17.4,21.13,28.17,8.17,20,122049,140356,11127,155699,55000,100699,1.0,12.58,13.58,50.98,7.9,379621694.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_N_M1_X,2036,High,1.802092,879457135.0,5,13,82,0,0,80,75.02,0,0,0,35.178,0.0,0.0,0.0,0.0,0.0,99280,55000,44280,27.09,36.11,16.11,21.8,29.06,9.06,20,150649,173247,13734,192184,55000,137184,0.81,13.88,14.7,50.81,7.9,468580522.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_N_M0_X,2036,Low,1.243374,606791530.0,5,13,82,0,0,80,75.02,0,0,0,24.272,0.0,0.0,0.0,0.0,0.0,104410,55000,49410,29.09,38.77,18.77,20.66,27.54,7.54,20,103942,119534,9476,132600,55000,77600,1.18,11.38,12.56,51.33,7.9,323302502.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_N_M0_X,2036,Medium,1.45997,712494421.0,5,13,82,0,0,80,75.02,0,0,0,28.5,0.0,0.0,0.0,0.0,0.0,102422,55000,47422,28.06,37.4,17.4,21.13,28.17,8.17,20,122049,140356,11127,155699,55000,100699,1.0,12.58,13.58,50.98,7.9,379621694.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_N_M0_X,2036,High,1.802092,879457135.0,5,13,82,0,0,80,75.02,0,0,0,35.178,0.0,0.0,0.0,0.0,0.0,99280,55000,44280,27.09,36.11,16.11,21.8,29.06,9.06,20,150649,173247,13734,192184,55000,137184,0.81,13.88,14.7,50.81,7.9,468580522.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_N_H1_X,2036,Low,1.243374,606791530.0,5,13,82,0,0,80,75.02,0,0,0,24.272,0.0,0.0,0.0,0.0,0.0,104410,55000,49410,29.09,38.77,18.77,20.66,27.54,7.54,20,103942,119534,9476,132600,55000,77600,1.18,11.38,12.56,51.33,7.9,323302502.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_N_H1_X,2036,Medium,1.45997,712494421.0,5,13,82,0,0,80,75.02,0,0,0,28.5,0.0,0.0,0.0,0.0,0.0,102422,55000,47422,28.06,37.4,17.4,21.13,28.17,8.17,20,122049,140356,11127,155699,55000,100699,1.0,12.58,13.58,50.98,7.9,379621694.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_N_H1_X,2036,High,1.802092,879457135.0,5,13,82,0,0,80,75.02,0,0,0,35.178,0.0,0.0,0.0,0.0,0.0,99280,55000,44280,27.09,36.11,16.11,21.8,29.06,9.06,20,150649,173247,13734,192184,55000,137184,0.81,13.88,14.7,50.81,7.9,468580522.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_N_H0_X,2036,Low,1.243374,606791530.0,5,13,82,0,0,80,75.02,0,0,0,24.272,0.0,0.0,0.0,0.0,0.0,104410,55000,49410,29.09,38.77,18.77,20.66,27.54,7.54,20,103942,119534,9476,132600,55000,77600,1.18,11.38,12.56,51.33,7.9,323302502.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_N_H0_X,2036,Medium,1.45997,712494421.0,5,13,82,0,0,80,75.02,0,0,0,28.5,0.0,0.0,0.0,0.0,0.0,102422,55000,47422,28.06,37.4,17.4,21.13,28.17,8.17,20,122049,140356,11127,155699,55000,100699,1.0,12.58,13.58,50.98,7.9,379621694.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_N_H0_X,2036,High,1.802092,879457135.0,5,13,82,0,0,80,75.02,0,0,0,35.178,0.0,0.0,0.0,0.0,0.0,99280,55000,44280,27.09,36.11,16.11,21.8,29.06,9.06,20,150649,173247,13734,192184,55000,137184,0.81,13.88,14.7,50.81,7.9,468580522.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_L_L1_X,2036,Low,1.243374,606791530.0,5,13,82,0,0,80,75.02,0,0,0,24.272,0.0,0.0,0.0,0.0,0.0,104410,55000,49410,30.49,40.64,20.64,22.06,29.41,9.41,20,103942,119534,9476,132600,55000,77600,1.18,11.38,12.56,53.2,7.9,323302502.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_L_L1_X,2036,Medium,1.45997,712494421.0,5,13,82,0,0,80,75.02,0,0,0,28.5,0.0,0.0,0.0,0.0,0.0,102422,55000,47422,29.55,39.39,19.39,22.63,30.16,10.16,20,122049,140356,11127,155699,55000,100699,1.0,12.58,13.58,52.97,7.9,379621694.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_L_L1_X,2036,High,1.802092,879457135.0,5,13,82,0,0,80,75.02,0,0,0,35.178,0.0,0.0,0.0,0.0,0.0,99280,55000,44280,28.7,38.25,18.25,23.4,31.19,11.19,20,150649,173247,13734,192184,55000,137184,0.81,13.88,14.7,52.95,7.9,468580522.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_L_L0_X,2036,Low,1.243374,606791530.0,5,13,82,0,0,80,75.02,0,0,0,24.272,0.0,0.0,0.0,0.0,0.0,104410,55000,49410,30.49,40.64,20.64,22.06,29.41,9.41,20,103942,119534,9476,132600,55000,77600,1.18,11.38,12.56,53.2,7.9,323302502.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_L_L0_X,2036,Medium,1.45997,712494421.0,5,13,82,0,0,80,75.02,0,0,0,28.5,0.0,0.0,0.0,0.0,0.0,102422,55000,47422,29.55,39.39,19.39,22.63,30.16,10.16,20,122049,140356,11127,155699,55000,100699,1.0,12.58,13.58,52.97,7.9,379621694.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_L_L0_X,2036,High,1.802092,879457135.0,5,13,82,0,0,80,75.02,0,0,0,35.178,0.0,0.0,0.0,0.0,0.0,99280,55000,44280,28.7,38.25,18.25,23.4,31.19,11.19,20,150649,173247,13734,192184,55000,137184,0.81,13.88,14.7,52.95,7.9,468580522.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_L_M1_X,2036,Low,1.243374,606791530.0,5,13,82,0,0,80,75.02,0,0,0,24.272,0.0,0.0,0.0,0.0,0.0,104410,55000,49410,30.49,40.64,20.64,22.06,29.41,9.41,20,103942,119534,9476,132600,55000,77600,1.18,11.38,12.56,53.2,7.9,323302502.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_L_M1_X,2036,Medium,1.45997,712494421.0,5,13,82,0,0,80,75.02,0,0,0,28.5,0.0,0.0,0.0,0.0,0.0,102422,55000,47422,29.55,39.39,19.39,22.63,30.16,10.16,20,122049,140356,11127,155699,55000,100699,1.0,12.58,13.58,52.97,7.9,379621694.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_L_M1_X,2036,High,1.802092,879457135.0,5,13,82,0,0,80,75.02,0,0,0,35.178,0.0,0.0,0.0,0.0,0.0,99280,55000,44280,28.7,38.25,18.25,23.4,31.19,11.19,20,150649,173247,13734,192184,55000,137184,0.81,13.88,14.7,52.95,7.9,468580522.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_L_M0_X,2036,Low,1.243374,606791530.0,5,13,82,0,0,80,75.02,0,0,0,24.272,0.0,0.0,0.0,0.0,0.0,104410,55000,49410,30.49,40.64,20.64,22.06,29.41,9.41,20,103942,119534,9476,132600,55000,77600,1.18,11.38,12.56,53.2,7.9,323302502.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_L_M0_X,2036,Medium,1.45997,712494421.0,5,13,82,0,0,80,75.02,0,0,0,28.5,0.0,0.0,0.0,0.0,0.0,102422,55000,47422,29.55,39.39,19.39,22.63,30.16,10.16,20,122049,140356,11127,155699,55000,100699,1.0,12.58,13.58,52.97,7.9,379621694.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_L_M0_X,2036,High,1.802092,879457135.0,5,13,82,0,0,80,75.02,0,0,0,35.178,0.0,0.0,0.0,0.0,0.0,99280,55000,44280,28.7,38.25,18.25,23.4,31.19,11.19,20,150649,173247,13734,192184,55000,137184,0.81,13.88,14.7,52.95,7.9,468580522.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_L_H1_X,2036,Low,1.243374,606791530.0,5,13,82,0,0,80,75.02,0,0,0,24.272,0.0,0.0,0.0,0.0,0.0,104410,55000,49410,30.49,40.64,20.64,22.06,29.41,9.41,20,103942,119534,9476,132600,55000,77600,1.18,11.38,12.56,53.2,7.9,323302502.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_L_H1_X,2036,Medium,1.45997,712494421.0,5,13,82,0,0,80,75.02,0,0,0,28.5,0.0,0.0,0.0,0.0,0.0,102422,55000,47422,29.55,39.39,19.39,22.63,30.16,10.16,20,122049,140356,11127,155699,55000,100699,1.0,12.58,13.58,52.97,7.9,379621694.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_L_H1_X,2036,High,1.802092,879457135.0,5,13,82,0,0,80,75.02,0,0,0,35.178,0.0,0.0,0.0,0.0,0.0,99280,55000,44280,28.7,38.25,18.25,23.4,31.19,11.19,20,150649,173247,13734,192184,55000,137184,0.81,13.88,14.7,52.95,7.9,468580522.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_L_H0_X,2036,Low,1.243374,606791530.0,5,13,82,0,0,80,75.02,0,0,0,24.272,0.0,0.0,0.0,0.0,0.0,104410,55000,49410,30.49,40.64,20.64,22.06,29.41,9.41,20,103942,119534,9476,132600,55000,77600,1.18,11.38,12.56,53.2,7.9,323302502.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_L_H0_X,2036,Medium,1.45997,712494421.0,5,13,82,0,0,80,75.02,0,0,0,28.5,0.0,0.0,0.0,0.0,0.0,102422,55000,47422,29.55,39.39,19.39,22.63,30.16,10.16,20,122049,140356,11127,155699,55000,100699,1.0,12.58,13.58,52.97,7.9,379621694.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_L_H0_X,2036,High,1.802092,879457135.0,5,13,82,0,0,80,75.02,0,0,0,35.178,0.0,0.0,0.0,0.0,0.0,99280,55000,44280,28.7,38.25,18.25,23.4,31.19,11.19,20,150649,173247,13734,192184,55000,137184,0.81,13.88,14.7,52.95,7.9,468580522.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_M_L1_X,2036,Low,1.243374,606791530.0,5,13,82,0,0,80,75.02,0,0,0,24.272,0.0,0.0,0.0,0.0,0.0,104410,55000,49410,31.88,42.5,22.5,23.46,31.27,11.27,20,103942,119534,9476,132600,55000,77600,1.18,11.38,12.56,55.06,7.9,323302502.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_M_L1_X,2036,Medium,1.45997,712494421.0,5,13,82,0,0,80,75.02,0,0,0,28.5,0.0,0.0,0.0,0.0,0.0,102422,55000,47422,31.05,41.4,21.4,24.13,32.16,12.16,20,122049,140356,11127,155699,55000,100699,1.0,12.58,13.58,54.98,7.9,379621694.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_M_L1_X,2036,High,1.802092,879457135.0,5,13,82,0,0,80,75.02,0,0,0,35.178,0.0,0.0,0.0,0.0,0.0,99280,55000,44280,30.33,40.42,20.42,25.03,33.37,13.37,20,150649,173247,13734,192184,55000,137184,0.81,13.88,14.7,55.12,7.9,468580522.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_M_L0_X,2036,Low,1.243374,606791530.0,5,13,82,0,0,80,75.02,0,0,0,24.272,0.0,0.0,0.0,0.0,0.0,104410,55000,49410,31.88,42.5,22.5,23.46,31.27,11.27,20,103942,119534,9476,132600,55000,77600,1.18,11.38,12.56,55.06,7.9,323302502.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_M_L0_X,2036,Medium,1.45997,712494421.0,5,13,82,0,0,80,75.02,0,0,0,28.5,0.0,0.0,0.0,0.0,0.0,102422,55000,47422,31.05,41.4,21.4,24.13,32.16,12.16,20,122049,140356,11127,155699,55000,100699,1.0,12.58,13.58,54.98,7.9,379621694.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_M_L0_X,2036,High,1.802092,879457135.0,5,13,82,0,0,80,75.02,0,0,0,35.178,0.0,0.0,0.0,0.0,0.0,99280,55000,44280,30.33,40.42,20.42,25.03,33.37,13.37,20,150649,173247,13734,192184,55000,137184,0.81,13.88,14.7,55.12,7.9,468580522.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_M_M1_X,2036,Low,1.243374,606791530.0,5,13,82,0,0,80,75.02,0,0,0,24.272,0.0,0.0,0.0,0.0,0.0,104410,55000,49410,31.88,42.5,22.5,23.46,31.27,11.27,20,103942,119534,9476,132600,55000,77600,1.18,11.38,12.56,55.06,7.9,323302502.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_M_M1_X,2036,Medium,1.45997,712494421.0,5,13,82,0,0,80,75.02,0,0,0,28.5,0.0,0.0,0.0,0.0,0.0,102422,55000,47422,31.05,41.4,21.4,24.13,32.16,12.16,20,122049,140356,11127,155699,55000,100699,1.0,12.58,13.58,54.98,7.9,379621694.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_M_M1_X,2036,High,1.802092,879457135.0,5,13,82,0,0,80,75.02,0,0,0,35.178,0.0,0.0,0.0,0.0,0.0,99280,55000,44280,30.33,40.42,20.42,25.03,33.37,13.37,20,150649,173247,13734,192184,55000,137184,0.81,13.88,14.7,55.12,7.9,468580522.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_M_M0_X,2036,Low,1.243374,606791530.0,5,13,82,0,0,80,75.02,0,0,0,24.272,0.0,0.0,0.0,0.0,0.0,104410,55000,49410,31.88,42.5,22.5,23.46,31.27,11.27,20,103942,119534,9476,132600,55000,77600,1.18,11.38,12.56,55.06,7.9,323302502.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_M_M0_X,2036,Medium,1.45997,712494421.0,5,13,82,0,0,80,75.02,0,0,0,28.5,0.0,0.0,0.0,0.0,0.0,102422,55000,47422,31.05,41.4,21.4,24.13,32.16,12.16,20,122049,140356,11127,155699,55000,100699,1.0,12.58,13.58,54.98,7.9,379621694.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_M_M0_X,2036,High,1.802092,879457135.0,5,13,82,0,0,80,75.02,0,0,0,35.178,0.0,0.0,0.0,0.0,0.0,99280,55000,44280,30.33,40.42,20.42,25.03,33.37,13.37,20,150649,173247,13734,192184,55000,137184,0.81,13.88,14.7,55.12,7.9,468580522.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_M_H1_X,2036,Low,1.243374,606791530.0,5,13,82,0,0,80,75.02,0,0,0,24.272,0.0,0.0,0.0,0.0,0.0,104410,55000,49410,31.88,42.5,22.5,23.46,31.27,11.27,20,103942,119534,9476,132600,55000,77600,1.18,11.38,12.56,55.06,7.9,323302502.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_M_H1_X,2036,Medium,1.45997,712494421.0,5,13,82,0,0,80,75.02,0,0,0,28.5,0.0,0.0,0.0,0.0,0.0,102422,55000,47422,31.05,41.4,21.4,24.13,32.16,12.16,20,122049,140356,11127,155699,55000,100699,1.0,12.58,13.58,54.98,7.9,379621694.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_M_H1_X,2036,High,1.802092,879457135.0,5,13,82,0,0,80,75.02,0,0,0,35.178,0.0,0.0,0.0,0.0,0.0,99280,55000,44280,30.33,40.42,20.42,25.03,33.37,13.37,20,150649,173247,13734,192184,55000,137184,0.81,13.88,14.7,55.12,7.9,468580522.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_M_H0_X,2036,Low,1.243374,606791530.0,5,13,82,0,0,80,75.02,0,0,0,24.272,0.0,0.0,0.0,0.0,0.0,104410,55000,49410,31.88,42.5,22.5,23.46,31.27,11.27,20,103942,119534,9476,132600,55000,77600,1.18,11.38,12.56,55.06,7.9,323302502.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_M_H0_X,2036,Medium,1.45997,712494421.0,5,13,82,0,0,80,75.02,0,0,0,28.5,0.0,0.0,0.0,0.0,0.0,102422,55000,47422,31.05,41.4,21.4,24.13,32.16,12.16,20,122049,140356,11127,155699,55000,100699,1.0,12.58,13.58,54.98,7.9,379621694.0,0.7102,0.7102
ERCOT,75.0,LLLL_L_M_H0_X,2036,High,1.802092,879457135.0,5,13,82,0,0,80,75.02,0,0,0,35.178,0.0,0.0,0.0,0.0,0.0,99280,55000,44280,30.33,40.42,20.42,25.03,33.37,13.37,20,150649,173247,13734,192184,55000,137184,0.81,13.88,14.7,55.12,7.9,468580522.0,0.7102,0.7102
