iso,threshold,scenario,year,growth_level,growth_factor,annual_demand_mwh,mix_clean_firm,mix_solar,mix_wind,mix_ccs_ccgt,mix_hydro,procurement_pct,hourly_match_score,battery_dispatch_pct,battery8_dispatch_pct,ldes_dispatch_pct,tranche_cf_existing_twh,tranche_uprate_twh,tranche_geo_twh,tranche_new_cf_twh,tranche_nuclear_newbuild_twh,tranche_ccs_tranche_twh,ra_gas_needed_mw,ra_existing_gas_mw,ra_new_gas_mw,cost_total_cost,cost_effective_cost,cost_incremental,no45q_total_cost,no45q_effective_cost,no45q_incremental,no45q_wholesale,ra_peak_demand_mw,ra_ra_peak_mw,ra_clean_peak_capacity_mw,ra_gas_backup_needed_mw,ra_existing_gas_used_mw,ra_new_gas_build_mw,ra_existing_gas_cost_per_mwh,ra_new_gas_cost_per_mwh,ra_gas_backup_cost_per_mwh,ra_total_system_cost_per_mwh,ra_clean_coverage_pct,co2_total_abated_tons,co2_rate_per_mwh,co2_emission_rate_tco2_mwh
ERCOT,97.5,LLLL_L_N_L1_X,2048,Low,1.576899,769558379.0,4,55,41,0,0,130,97.89,0,0,0,40.017,0.0,0.0,0.0,0.0,0.0,80722,55000,25722,47.21,48.23,28.23,42.38,43.3,23.3,20,131824,151598,28094,148799,55000,93799,0.93,10.85,11.78,60.01,18.5,430563745.0,0.5716,0.5716
ERCOT,97.5,LLLL_L_N_L1_X,2048,Medium,2.206114,1076627989.0,4,55,41,0,0,130,97.89,0,0,0,41.97,1.703,0.0,14.015,0.0,12.312,66714,55000,11714,46.22,47.22,27.22,43.78,44.72,24.72,20,184425,212088,39304,208173,55000,153173,0.66,12.66,13.33,60.55,18.5,602367529.0,0.5716,0.5716
ERCOT,97.5,LLLL_L_N_L1_X,2048,High,3.426152,1672030488.0,1,54,45,0,0,130,97.82,0,0,0,21.736,0.0,0.0,0.0,0.0,0.0,49373,49373,0,45.53,46.55,26.55,44.4,45.39,25.39,20,286416,329378,53845,331968,55000,276968,0.43,14.74,15.17,61.72,16.3,934823043.0,0.5716,0.5716
ERCOT,97.5,LLLL_L_N_L0_X,2048,Low,1.576899,769558379.0,4,55,41,0,0,130,97.89,0,0,0,40.017,0.0,0.0,0.0,0.0,0.0,80722,55000,25722,47.21,48.23,28.23,42.38,43.3,23.3,20,131824,151598,28094,148799,55000,93799,0.93,10.85,11.78,60.01,18.5,430563745.0,0.5716,0.5716
ERCOT,97.5,LLLL_L_N_L0_X,2048,Medium,2.206114,1076627989.0,4,55,41,0,0,130,97.89,0,0,0,41.97,1.703,0.0,14.015,12.312,0.0,66714,55000,11714,46.41,47.41,27.41,43.78,44.72,24.72,20,184425,212088,39304,208173,55000,153173,0.66,12.66,13.33,60.74,18.5,602367529.0,0.5716,0.5716
ERCOT,97.5,LLLL_L_N_L0_X,2048,High,3.426152,1672030488.0,1,54,45,0,0,130,97.82,0,0,0,21.736,0.0,0.0,0.0,0.0,0.0,49373,49373,0,45.53,46.55,26.55,44.4,45.39,25.39,20,286416,329378,53845,331968,55000,276968,0.43,14.74,15.17,61.72,16.3,934823043.0,0.5716,0.5716
ERCOT,97.5,LLLL_L_N_M1_X,2048,Low,1.576899,769558379.0,4,55,41,0,0,130,97.89,0,0,0,40.017,0.0,0.0,0.0,0.0,0.0,80722,55000,25722,47.21,48.23,28.23,42.38,43.3,23.3,20,131824,151598,28094,148799,55000,93799,0.93,10.85,11.78,60.01,18.5,430563745.0,0.5716,0.5716
ERCOT,97.5,LLLL_L_N_M1_X,2048,Medium,2.206114,1076627989.0,4,55,41,0,0,130,97.89,0,0,0,41.97,1.703,0.0,14.015,12.312,0.0,66714,55000,11714,46.41,47.41,27.41,43.78,44.72,24.72,20,184425,212088,39304,208173,55000,153173,0.66,12.66,13.33,60.74,18.5,602367529.0,0.5716,0.5716
ERCOT,97.5,LLLL_L_N_M1_X,2048,High,3.426152,1672030488.0,1,54,45,0,0,130,97.82,0,0,0,21.736,0.0,0.0,0.0,0.0,0.0,49373,49373,0,45.53,46.55,26.55,44.4,45.39,25.39,20,286416,329378,53845,331968,55000,276968,0.43,14.74,15.17,61.72,16.3,934823043.0,0.5716,0.5716
ERCOT,97.5,LLLL_L_N_M0_X,2048,Low,1.576899,769558379.0,4,55,41,0,0,130,97.89,0,0,0,40.017,0.0,0.0,0.0,0.0,0.0,80722,55000,25722,47.21,48.23,28.23,42.38,43.3,23.3,20,131824,151598,28094,148799,55000,93799,0.93,10.85,11.78,60.01,18.5,430563745.0,0.5716,0.5716
