scenario_key,resource_mix_clean_firm,resource_mix_solar,resource_mix_wind,resource_mix_ccs_ccgt,resource_mix_hydro,costs_total_cost,costs_effective_cost,costs_incremental,costs_wholesale,procurement_pct,hourly_match_score,battery_dispatch_pct,battery8_dispatch_pct,ldes_dispatch_pct,co2_abated_total_co2_abated_tons,co2_abated_co2_rate_per_mwh,co2_abated_matched_mwh,co2_abated_emission_rate_tco2_mwh,co2_abated_methodology,co2_abated_retirement_info_coal_displaced_twh,co2_abated_retirement_info_oil_displaced_twh,co2_abated_retirement_info_gas_displaced_twh,co2_abated_retirement_info_coal_remaining_twh,co2_abated_retirement_info_oil_remaining_twh,co2_abated_retirement_info_gas_remaining_twh,co2_abated_retirement_info_fossil_remaining_twh,co2_abated_retirement_info_displaced_rate_tco2_mwh,co2_abated_retirement_info_remaining_rate_tco2_mwh,co2_abated_retirement_info_demand_growth_factor,no_45q_costs_total_cost,no_45q_costs_effective_cost,no_45q_costs_incremental,no_45q_costs_wholesale,gas_backup_peak_demand_mw,gas_backup_ra_peak_mw,gas_backup_clean_peak_capacity_mw,gas_backup_gas_backup_needed_mw,gas_backup_existing_gas_used_mw,gas_backup_new_gas_build_mw,gas_backup_existing_gas_cost_per_mwh,gas_backup_new_gas_cost_per_mwh,gas_backup_gas_backup_cost_per_mwh,gas_backup_total_system_cost_per_mwh,gas_backup_incremental_with_new_gas,gas_backup_clean_coverage_pct,gas_backup_resource_adequacy_margin,gas_backup_gas_availability_factor,tranche_costs_new_cf_twh,tranche_costs_cf_existing_twh,tranche_costs_uprate_twh,tranche_costs_geo_twh,tranche_costs_ccs_tranche_twh,tranche_costs_nuclear_newbuild_twh
LLLL_L_N_L1_X,13,20,67,0,0,26.76,40.27,20.27,20.0,70,66.45,0,0,0,284668852.0,0.8778,324289290.0,0.8778,fast_match_score,67.58,0.0,24.65,0.0,0.0,78.57,78.57,0.8778,0.3934,1.0,16.55,24.91,4.91,20.0,83597.0,96137.0,10022.0,103752.0,55000.0,48752.0,1.47,8.89,10.36,50.63,49.16,10.4,0.15,0.83,2.44,41.97,1.703,0.0,0.737,0.0
LLLL_L_N_L0_X,13,20,67,0,0,26.78,40.3,20.3,20.0,70,66.45,0,0,0,284668852.0,0.8778,324289290.0,0.8778,fast_match_score,67.58,0.0,24.65,0.0,0.0,78.57,78.57,0.8778,0.3934,1.0,16.55,24.91,4.91,20.0,83597.0,96137.0,10022.0,103752.0,55000.0,48752.0,1.47,8.89,10.36,50.66,49.19,10.4,0.15,0.83,2.44,41.97,1.703,0.0,0.0,0.737
LLLL_L_N_M1_X,13,20,67,0,0,26.78,40.3,20.3,20.0,70,66.45,0,0,0,284668852.0,0.8778,324289290.0,0.8778,fast_match_score,67.58,0.0,24.65,0.0,0.0,78.57,78.57,0.8778,0.3934,1.0,16.55,24.91,4.91,20.0,83597.0,96137.0,10022.0,103752.0,55000.0,48752.0,1.47,8.89,10.36,50.66,49.19,10.4,0.15,0.83,2.44,41.97,1.703,0.0,0.0,0.737
LLLL_L_N_M0_X,13,20,67,0,0,26.78,40.3,20.3,20.0,70,66.45,0,0,0,284668852.0,0.8778,324289290.0,0.8778,fast_match_score,67.58,0.0,24.65,0.0,0.0,78.57,78.57,0.8778,0.3934,1.0,16.55,24.91,4.91,20.0,83597.0,96137.0,10022.0,103752.0,55000.0,48752.0,1.47,8.89,10.36,50.66,49.19,10.4,0.15,0.83,2.44,41.97,1.703,0.0,0.0,0.737
LLLL_L_N_H1_X,13,20,67,0,0,26.78,40.3,20.3,20.0,70,66.45,0,0,0,284668852.0,0.8778,324289290.0,0.8778,fast_match_score,67.58,0.0,24.65,0.0,0.0,78.57,78.57,0.8778,0.3934,1.0,16.55,24.91,4.91,20.0,83597.0,96137.0,10022.0,103752.0,55000.0,48752.0,1.47,8.89,10.36,50.66,49.19,10.4,0.15,0.83,2.44,41.97,1.703,0.0,0.0,0.737
LLLL_L_N_H0_X,13,20,67,0,0,26.78,40.3,20.3,20.0,70,66.45,0,0,0,284668852.0,0.8778,324289290.0,0.8778,fast_match_score,67.58,0.0,24.65,0.0,0.0,78.57,78.57,0.8778,0.3934,1.0,16.55,24.91,4.91,20.0,83597.0,96137.0,10022.0,103752.0,55000.0,48752.0,1.47,8.89,10.36,50.66,49.19,10.4,0.15,0.83,2.44,41.97,1.703,0.0,0.0,0.737
LLLL_L_L_L1_X,13,20,67,0,0,27.46,41.32,21.32,20.0,70,66.45,0,0,0,284668852.0,0.8778,324289290.0,0.8778,fast_match_score,67.58,0.0,24.65,0.0,0.0,78.57,78.57,0.8778,0.3934,1.0,17.26,25.97,5.97,20.0,83597.0,96137.0,10022.0,103752.0,55000.0,48752.0,1.47,8.89,10.36,51.68,50.21,10.4,0.15,0.83,2.44,41.97,1.703,0.0,0.737,0.0
LLLL_L_L_L0_X,13,20,67,0,0,27.48,41.36,21.36,20.0,70,66.45,0,0,0,284668852.0,0.8778,324289290.0,0.8778,fast_match_score,67.58,0.0,24.65,0.0,0.0,78.57,78.57,0.8778,0.3934,1.0,17.26,25.97,5.97,20.0,83597.0,96137.0,10022.0,103752.0,55000.0,48752.0,1.47,8.89,10.36,51.72,50.25,10.4,0.15,0.83,2.44,41.97,1.703,0.0,0.0,0.737
LLLL_L_L_M1_X,13,20,67,0,0,27.48,41.36,21.36,20.0,70,66.45,0,0,0,284668852.0,0.8778,324289290.0,0.8778,fast_match_score,67.58,0.0,24.65,0.0,0.0,78.57,78.57,0.8778,0.3934,1.0,17.26,25.97,5.97,20.0,83597.0,96137.0,10022.0,103752.0,55000.0,48752.0,1.47,8.89,10.36,51.72,50.25,10.4,0.15,0.83,2.44,41.97,1.703,0.0,0.0,0.737
LLLL_L_L_M0_X,13,20,67,0,0,27.48,41.36,21.36,20.0,70,66.45,0,0,0,284668852.0,0.8778,324289290.0,0.8778,fast_match_score,67.58,0.0,24.65,0.0,0.0,78.57,78.57,0.8778,0.3934,1.0,17.26,25.97,5.97,20.0,83597.0,96137.0,10022.0,103752.0,55000.0,48752.0,1.47,8.89,10.36,51.72,50.25,10.4,0.15,0.83,2.44,41.97,1.703,0.0,0.0,0.737
