scenario_key,resource_mix_clean_firm,resource_mix_solar,resource_mix_wind,resource_mix_ccs_ccgt,resource_mix_hydro,costs_total_cost,costs_effective_cost,costs_incremental,costs_wholesale,procurement_pct,hourly_match_score,battery_dispatch_pct,battery8_dispatch_pct,ldes_dispatch_pct,co2_abated_total_co2_abated_tons,co2_abated_co2_rate_per_mwh,co2_abated_matched_mwh,co2_abated_emission_rate_tco2_mwh,co2_abated_methodology,co2_abated_retirement_info_coal_displaced_twh,co2_abated_retirement_info_oil_displaced_twh,co2_abated_retirement_info_gas_displaced_twh,co2_abated_retirement_info_displaced_rate_tco2_mwh,co2_abated_retirement_info_remaining_rate_tco2_mwh,co2_abated_retirement_info_forced_gas_only,co2_abated_retirement_info_demand_growth_factor,no_45q_costs_total_cost,no_45q_costs_effective_cost,no_45q_costs_incremental,no_45q_costs_wholesale,gas_backup_peak_demand_mw,gas_backup_ra_peak_mw,gas_backup_clean_peak_capacity_mw,gas_backup_gas_backup_needed_mw,gas_backup_existing_gas_used_mw,gas_backup_new_gas_build_mw,gas_backup_existing_gas_cost_per_mwh,gas_backup_new_gas_cost_per_mwh,gas_backup_gas_backup_cost_per_mwh,gas_backup_total_system_cost_per_mwh,gas_backup_incremental_with_new_gas,gas_backup_clean_coverage_pct,gas_backup_resource_adequacy_margin,gas_backup_gas_availability_factor,tranche_costs_new_cf_twh,tranche_costs_cf_existing_twh,tranche_costs_uprate_twh,tranche_costs_geo_twh,tranche_costs_ccs_tranche_twh,tranche_costs_nuclear_newbuild_twh
LLLL_L_N_L1_X,11,15,74,0,0,29.87,39.8,19.8,20.0,80,75.04,0,0,0,260089573.0,0.7102,366210208.0,0.7102,fast_match_score,67.58,0.0,73.45,0.7102,0.3934,True,1.0,19.63,26.16,6.16,20.0,83597.0,96137.0,10206.0,103531.0,55000.0,48531.0,1.47,8.85,10.32,50.12,48.65,10.6,0.15,0.83,0.976,41.97,0.976,0.0,0.0,0.0
LLLL_L_N_L0_X,11,15,74,0,0,29.87,39.8,19.8,20.0,80,75.04,0,0,0,260089573.0,0.7102,366210208.0,0.7102,fast_match_score,67.58,0.0,73.45,0.7102,0.3934,True,1.0,19.63,26.16,6.16,20.0,83597.0,96137.0,10206.0,103531.0,55000.0,48531.0,1.47,8.85,10.32,50.12,48.65,10.6,0.15,0.83,0.976,41.97,0.976,0.0,0.0,0.0
LLLL_L_N_M1_X,11,15,74,0,0,29.87,39.8,19.8,20.0,80,75.04,0,0,0,260089573.0,0.7102,366210208.0,0.7102,fast_match_score,67.58,0.0,73.45,0.7102,0.3934,True,1.0,19.63,26.16,6.16,20.0,83597.0,96137.0,10206.0,103531.0,55000.0,48531.0,1.47,8.85,10.32,50.12,48.65,10.6,0.15,0.83,0.976,41.97,0.976,0.0,0.0,0.0
LLLL_L_N_M0_X,11,15,74,0,0,29.87,39.8,19.8,20.0,80,75.04,0,0,0,260089573.0,0.7102,366210208.0,0.7102,fast_match_score,67.58,0.0,73.45,0.7102,0.3934,True,1.0,19.63,26.16,6.16,20.0,83597.0,96137.0,10206.0,103531.0,55000.0,48531.0,1.47,8.85,10.32,50.12,48.65,10.6,0.15,0.83,0.976,41.97,0.976,0.0,0.0,0.0
LLLL_L_N_H1_X,11,15,74,0,0,29.87,39.8,19.8,20.0,80,75.04,0,0,0,260089573.0,0.7102,366210208.0,0.7102,fast_match_score,67.58,0.0,73.45,0.7102,0.3934,True,1.0,19.63,26.16,6.16,20.0,83597.0,96137.0,10206.0,103531.0,55000.0,48531.0,1.47,8.85,10.32,50.12,48.65,10.6,0.15,0.83,0.976,41.97,0.976,0.0,0.0,0.0
LLLL_L_N_H0_X,11,15,74,0,0,29.87,39.8,19.8,20.0,80,75.04,0,0,0,260089573.0,0.7102,366210208.0,0.7102,fast_match_score,67.58,0.0,73.45,0.7102,0.3934,True,1.0,19.63,26.16,6.16,20.0,83597.0,96137.0,10206.0,103531.0,55000.0,48531.0,1.47,8.85,10.32,50.12,48.65,10.6,0.15,0.83,0.976,41.97,0.976,0.0,0.0,0.0
LLLL_L_L_L1_X,11,15,74,0,0,30.93,41.22,21.22,20.0,80,75.04,0,0,0,260089573.0,0.7102,366210208.0,0.7102,fast_match_score,67.58,0.0,73.45,0.7102,0.3934,True,1.0,20.7,27.59,7.59,20.0,83597.0,96137.0,10206.0,103531.0,55000.0,48531.0,1.47,8.85,10.32,51.54,50.07,10.6,0.15,0.83,0.976,41.97,0.976,0.0,0.0,0.0
LLLL_L_L_L0_X,11,15,74,0,0,30.93,41.22,21.22,20.0,80,75.04,0,0,0,260089573.0,0.7102,366210208.0,0.7102,fast_match_score,67.58,0.0,73.45,0.7102,0.3934,True,1.0,20.7,27.59,7.59,20.0,83597.0,96137.0,10206.0,103531.0,55000.0,48531.0,1.47,8.85,10.32,51.54,50.07,10.6,0.15,0.83,0.976,41.97,0.976,0.0,0.0,0.0
LLLL_L_L_M1_X,11,15,74,0,0,30.93,41.22,21.22,20.0,80,75.04,0,0,0,260089573.0,0.7102,366210208.0,0.7102,fast_match_score,67.58,0.0,73.45,0.7102,0.3934,True,1.0,20.7,27.59,7.59,20.0,83597.0,96137.0,10206.0,103531.0,55000.0,48531.0,1.47,8.85,10.32,51.54,50.07,10.6,0.15,0.83,0.976,41.97,0.976,0.0,0.0,0.0
LLLL_L_L_M0_X,11,15,74,0,0,30.93,41.22,21.22,20.0,80,75.04,0,0,0,260089573.0,0.7102,366210208.0,0.7102,fast_match_score,67.58,0.0,73.45,0.7102,0.3934,True,1.0,20.7,27.59,7.59,20.0,83597.0,96137.0,10206.0,103531.0,55000.0,48531.0,1.47,8.85,10.32,51.54,50.07,10.6,0.15,0.83,0.976,41.97,0.976,0.0,0.0,0.0
LLLL_L_L_H1_X,11,15,74,0,0,30.93,41.22,21.22,20.0,80,75.04,0,0,0,260089573.0,0.7102,366210208.0,0.7102,fast_match_score,67.58,0.0,73.45,0.7102,0.3934,True,1.0,20.7,27.59,7.59,20.0,83597.0,96137.0,10206.0,103531.0,55000.0,48531.0,1.47,8.85,10.32,51.54,50.07,10.6,0.15,0.83,0.976,41.97,0.976,0.0,0.0,0.0
LLLL_L_L_H0_X,11,15,74,0,0,30.93,41.22,21.22,20.0,80,75.04,0,0,0,260089573.0,0.7102,366210208.0,0.7102,fast_match_score,67.58,0.0,73.45,0.7102,0.3934,True,1.0,20.7,27.59,7.59,20.0,83597.0,96137.0,10206.0,103531.0,55000.0,48531.0,1.47,8.85,10.32,51.54,50.07,10.6,0.15,0.83,0.976,41.97,0.976,0.0,0.0,0.0
LLLL_L_M_L1_X,12,15,73,0,0,32.0,42.64,22.64,20.0,80,75.04,0,0,0,260089573.0,0.7102,366210208.0,0.7102,fast_match_score,67.58,0.0,73.45,0.7102,0.3934,True,1.0,21.95,29.25,9.25,20.0,83597.0,96137.0,10607.0,103047.0,55000.0,48047.0,1.47,8.76,10.23,52.87,51.4,11.0,0.15,0.83,4.88,41.97,1.703,0.0,3.177,0.0
