scenario_key,resource_mix_clean_firm,resource_mix_solar,resource_mix_wind,resource_mix_ccs_ccgt,resource_mix_hydro,costs_total_cost,costs_effective_cost,costs_incremental,costs_wholesale,procurement_pct,hourly_match_score,battery_dispatch_pct,battery8_dispatch_pct,ldes_dispatch_pct,co2_abated_total_co2_abated_tons,co2_abated_co2_rate_per_mwh,co2_abated_matched_mwh,co2_abated_emission_rate_tco2_mwh,co2_abated_methodology,co2_abated_retirement_info_coal_displaced_twh,co2_abated_retirement_info_oil_displaced_twh,co2_abated_retirement_info_gas_displaced_twh,co2_abated_retirement_info_displaced_rate_tco2_mwh,co2_abated_retirement_info_remaining_rate_tco2_mwh,co2_abated_retirement_info_forced_gas_only,co2_abated_retirement_info_demand_growth_factor,no_45q_costs_total_cost,no_45q_costs_effective_cost,no_45q_costs_incremental,no_45q_costs_wholesale,gas_backup_peak_demand_mw,gas_backup_ra_peak_mw,gas_backup_clean_peak_capacity_mw,gas_backup_gas_backup_needed_mw,gas_backup_existing_gas_used_mw,gas_backup_new_gas_build_mw,gas_backup_existing_gas_cost_per_mwh,gas_backup_new_gas_cost_per_mwh,gas_backup_gas_backup_cost_per_mwh,gas_backup_total_system_cost_per_mwh,gas_backup_incremental_with_new_gas,gas_backup_clean_coverage_pct,gas_backup_resource_adequacy_margin,gas_backup_gas_availability_factor,tranche_costs_new_cf_twh,tranche_costs_cf_existing_twh,tranche_costs_uprate_twh,tranche_costs_geo_twh,tranche_costs_ccs_tranche_twh,tranche_costs_nuclear_newbuild_twh
LLLL_L_N_L1_X,8,14,78,0,0,40.49,43.75,23.75,20.0,117,92.55,0,0,0,266818270.0,0.5907,451662510.0,0.5907,fast_match_score,67.58,0.0,158.85,0.5907,0.3934,True,1.0,30.96,33.45,13.45,20.0,83597.0,96137.0,13036.0,100121.0,55000.0,45121.0,1.47,8.23,9.69,53.44,51.98,13.6,0.15,0.83,3.709,41.97,1.703,0.0,2.006,0.0
LLLL_L_N_L0_X,8,14,78,0,0,40.56,43.82,23.82,20.0,117,92.55,0,0,0,266818270.0,0.5907,451662510.0,0.5907,fast_match_score,67.58,0.0,158.85,0.5907,0.3934,True,1.0,30.96,33.45,13.45,20.0,83597.0,96137.0,13036.0,100121.0,55000.0,45121.0,1.47,8.23,9.69,53.51,52.05,13.6,0.15,0.83,3.709,41.97,1.703,0.0,0.0,2.006
LLLL_L_N_M1_X,8,14,78,0,0,40.56,43.82,23.82,20.0,117,92.55,0,0,0,266818270.0,0.5907,451662510.0,0.5907,fast_match_score,67.58,0.0,158.85,0.5907,0.3934,True,1.0,30.96,33.45,13.45,20.0,83597.0,96137.0,13036.0,100121.0,55000.0,45121.0,1.47,8.23,9.69,53.51,52.05,13.6,0.15,0.83,3.709,41.97,1.703,0.0,0.0,2.006
LLLL_L_N_M0_X,8,14,78,0,0,40.56,43.82,23.82,20.0,117,92.55,0,0,0,266818270.0,0.5907,451662510.0,0.5907,fast_match_score,67.58,0.0,158.85,0.5907,0.3934,True,1.0,30.96,33.45,13.45,20.0,83597.0,96137.0,13036.0,100121.0,55000.0,45121.0,1.47,8.23,9.69,53.51,52.05,13.6,0.15,0.83,3.709,41.97,1.703,0.0,0.0,2.006
LLLL_L_N_H1_X,8,14,78,0,0,40.56,43.82,23.82,20.0,117,92.55,0,0,0,266818270.0,0.5907,451662510.0,0.5907,fast_match_score,67.58,0.0,158.85,0.5907,0.3934,True,1.0,30.96,33.45,13.45,20.0,83597.0,96137.0,13036.0,100121.0,55000.0,45121.0,1.47,8.23,9.69,53.51,52.05,13.6,0.15,0.83,3.709,41.97,1.703,0.0,0.0,2.006
LLLL_L_N_H0_X,8,14,78,0,0,40.56,43.82,23.82,20.0,117,92.55,0,0,0,266818270.0,0.5907,451662510.0,0.5907,fast_match_score,67.58,0.0,158.85,0.5907,0.3934,True,1.0,30.96,33.45,13.45,20.0,83597.0,96137.0,13036.0,100121.0,55000.0,45121.0,1.47,8.23,9.69,53.51,52.05,13.6,0.15,0.83,3.709,41.97,1.703,0.0,0.0,2.006
LLLL_L_L_L1_X,8,14,78,0,0,42.55,45.97,25.97,20.0,117,92.55,0,0,0,266818270.0,0.5907,451662510.0,0.5907,fast_match_score,67.58,0.0,158.85,0.5907,0.3934,True,1.0,33.02,35.68,15.68,20.0,83597.0,96137.0,13036.0,100121.0,55000.0,45121.0,1.47,8.23,9.69,55.66,54.2,13.6,0.15,0.83,3.709,41.97,1.703,0.0,2.006,0.0
LLLL_L_L_L0_X,8,14,78,0,0,42.62,46.05,26.05,20.0,117,92.55,0,0,0,266818270.0,0.5907,451662510.0,0.5907,fast_match_score,67.58,0.0,158.85,0.5907,0.3934,True,1.0,33.02,35.68,15.68,20.0,83597.0,96137.0,13036.0,100121.0,55000.0,45121.0,1.47,8.23,9.69,55.74,54.28,13.6,0.15,0.83,3.709,41.97,1.703,0.0,0.0,2.006
LLLL_L_L_M1_X,8,14,78,0,0,42.62,46.05,26.05,20.0,117,92.55,0,0,0,266818270.0,0.5907,451662510.0,0.5907,fast_match_score,67.58,0.0,158.85,0.5907,0.3934,True,1.0,33.02,35.68,15.68,20.0,83597.0,96137.0,13036.0,100121.0,55000.0,45121.0,1.47,8.23,9.69,55.74,54.28,13.6,0.15,0.83,3.709,41.97,1.703,0.0,0.0,2.006
LLLL_L_L_M0_X,8,14,78,0,0,42.62,46.05,26.05,20.0,117,92.55,0,0,0,266818270.0,0.5907,451662510.0,0.5907,fast_match_score,67.58,0.0,158.85,0.5907,0.3934,True,1.0,33.02,35.68,15.68,20.0,83597.0,96137.0,13036.0,100121.0,55000.0,45121.0,1.47,8.23,9.69,55.74,54.28,13.6,0.15,0.83,3.709,41.97,1.703,0.0,0.0,2.006
LLLL_L_L_H1_X,8,14,78,0,0,42.62,46.05,26.05,20.0,117,92.55,0,0,0,266818270.0,0.5907,451662510.0,0.5907,fast_match_score,67.58,0.0,158.85,0.5907,0.3934,True,1.0,33.02,35.68,15.68,20.0,83597.0,96137.0,13036.0,100121.0,55000.0,45121.0,1.47,8.23,9.69,55.74,54.28,13.6,0.15,0.83,3.709,41.97,1.703,0.0,0.0,2.006
LLLL_L_L_H0_X,8,14,78,0,0,42.62,46.05,26.05,20.0,117,92.55,0,0,0,266818270.0,0.5907,451662510.0,0.5907,fast_match_score,67.58,0.0,158.85,0.5907,0.3934,True,1.0,33.02,35.68,15.68,20.0,83597.0,96137.0,13036.0,100121.0,55000.0,45121.0,1.47,8.23,9.69,55.74,54.28,13.6,0.15,0.83,3.709,41.97,1.703,0.0,0.0,2.006
LLLL_L_M_L1_X,26,16,58,0,0,44.35,47.93,27.93,20.0,112,92.53,0,0,0,266760610.0,0.5907,451564906.0,0.5907,fast_match_score,67.58,0.0,158.85,0.5907,0.3934,True,1.0,37.76,40.81,20.81,20.0,83597.0,96137.0,22837.0,88313.0,55000.0,33313.0,1.47,6.08,7.54,55.47,54.01,23.8,0.15,0.83,100.142,41.97,1.703,0.0,98.439,0.0
LLLL_L_M_L0_X,8,14,78,0,0,44.7,48.3,28.3,20.0,117,92.55,0,0,0,266818270.0,0.5907,451662510.0,0.5907,fast_match_score,67.58,0.0,158.85,0.5907,0.3934,True,1.0,35.11,37.93,17.93,20.0,83597.0,96137.0,13036.0,100121.0,55000.0,45121.0,1.47,8.23,9.69,57.99,56.53,13.6,0.15,0.83,3.709,41.97,1.703,0.0,0.0,2.006
LLLL_L_M_M1_X,8,14,78,0,0,44.7,48.3,28.3,20.0,117,92.55,0,0,0,266818270.0,0.5907,451662510.0,0.5907,fast_match_score,67.58,0.0,158.85,0.5907,0.3934,True,1.0,35.11,37.93,17.93,20.0,83597.0,96137.0,13036.0,100121.0,55000.0,45121.0,1.47,8.23,9.69,57.99,56.53,13.6,0.15,0.83,3.709,41.97,1.703,0.0,0.0,2.006
LLLL_L_M_M0_X,8,14,78,0,0,44.7,48.3,28.3,20.0,117,92.55,0,0,0,266818270.0,0.5907,451662510.0,0.5907,fast_match_score,67.58,0.0,158.85,0.5907,0.3934,True,1.0,35.11,37.93,17.93,20.0,83597.0,96137.0,13036.0,100121.0,55000.0,45121.0,1.47,8.23,9.69,57.99,56.53,13.6,0.15,0.83,3.709,41.97,1.703,0.0,0.0,2.006
LLLL_L_M_H1_X,8,14,78,0,0,44.7,48.3,28.3,20.0,117,92.55,0,0,0,266818270.0,0.5907,451662510.0,0.5907,fast_match_score,67.58,0.0,158.85,0.5907,0.3934,True,1.0,35.11,37.93,17.93,20.0,83597.0,96137.0,13036.0,100121.0,55000.0,45121.0,1.47,8.23,9.69,57.99,56.53,13.6,0.15,0.83,3.709,41.97,1.703,0.0,0.0,2.006
LLLL_L_M_H0_X,8,14,78,0,0,44.7,48.3,28.3,20.0,117,92.55,0,0,0,266818270.0,0.5907,451662510.0,0.5907,fast_match_score,67.58,0.0,158.85,0.5907,0.3934,True,1.0,35.11,37.93,17.93,20.0,83597.0,96137.0,13036.0,100121.0,55000.0,45121.0,1.47,8.23,9.69,57.99,56.53,13.6,0.15,0.83,3.709,41.97,1.703,0.0,0.0,2.006
LLLL_L_H_L1_X,26,16,58,0,0,46.28,50.02,30.02,20.0,112,92.53,0,0,0,266760610.0,0.5907,451564906.0,0.5907,fast_match_score,67.58,0.0,158.85,0.5907,0.3934,True,1.0,39.91,43.13,23.13,20.0,83597.0,96137.0,22837.0,88313.0,55000.0,33313.0,1.47,6.08,7.54,57.56,56.1,23.8,0.15,0.83,100.142,41.97,1.703,0.0,98.439,0.0
LLLL_L_H_L0_X,8,14,78,0,0,47.47,51.29,31.29,20.0,117,92.55,0,0,0,266818270.0,0.5907,451662510.0,0.5907,fast_match_score,67.58,0.0,158.85,0.5907,0.3934,True,1.0,37.88,40.93,20.93,20.0,83597.0,96137.0,13036.0,100121.0,55000.0,45121.0,1.47,8.23,9.69,60.98,59.52,13.6,0.15,0.83,3.709,41.97,1.703,0.0,0.0,2.006
