iso,threshold,clean_firm,solar,wind,hydro,procurement_pct,battery_dispatch_pct,battery8_dispatch_pct,ldes_dispatch_pct,hourly_match_score,pareto_type
PJM,100.0,30,0,70,0,340,0.0,0.0,0.0,100.0,
PJM,100.0,30,5,65,0,340,0.0,0.0,0.0,100.0,
PJM,100.0,30,10,60,0,340,0.0,0.0,0.0,100.0,
PJM,100.0,30,15,55,0,340,0.0,0.0,0.0,100.0,
PJM,100.0,30,20,50,0,340,0.0,0.0,0.0,100.0,
PJM,100.0,30,25,45,0,340,0.0,0.0,0.0,100.0,
PJM,100.0,30,30,40,0,350,0.0,0.0,0.0,100.0,
PJM,100.0,35,0,65,0,310,0.0,0.0,0.0,100.0,
PJM,100.0,35,5,60,0,310,0.0,0.0,0.0,100.0,
PJM,100.0,35,10,55,0,310,0.0,0.0,0.0,100.0,
PJM,100.0,35,15,50,0,310,0.0,0.0,0.0,100.0,
PJM,100.0,35,20,45,0,310,0.0,0.0,0.0,100.0,
PJM,100.0,35,25,40,0,310,0.0,0.0,0.0,100.0,
PJM,100.0,35,30,35,0,320,0.0,0.0,0.0,100.0,
PJM,100.0,35,35,30,0,330,0.0,0.0,0.0,100.0,
PJM,100.0,35,40,25,0,330,0.0,0.0,0.0,100.0,
PJM,100.0,35,45,20,0,340,0.0,0.0,0.0,100.0,
PJM,100.0,35,50,15,0,350,0.0,0.0,0.0,100.0,
PJM,100.0,40,0,60,0,280,0.0,0.0,0.0,100.0,
PJM,100.0,40,5,55,0,280,0.0,0.0,0.0,100.0,
PJM,100.0,40,10,50,0,280,0.0,0.0,0.0,100.0,
PJM,100.0,40,15,45,0,280,0.0,0.0,0.0,100.0,
PJM,100.0,40,20,40,0,280,0.0,0.0,0.0,100.0,
PJM,100.0,40,25,35,0,290,0.0,0.0,0.0,100.0,
PJM,100.0,40,30,30,0,290,0.0,0.0,0.0,100.0,
PJM,100.0,40,35,25,0,300,0.0,0.0,0.0,100.0,
PJM,100.0,40,40,20,0,300,0.0,0.0,0.0,100.0,
PJM,100.0,40,45,15,0,310,0.0,0.0,0.0,100.0,
PJM,100.0,40,50,10,0,320,0.0,0.0,0.0,100.0,
PJM,100.0,40,55,5,0,330,0.0,0.0,0.0,100.0,
PJM,100.0,40,60,0,0,340,0.0,0.0,0.0,100.0,
PJM,100.0,45,0,55,0,260,0.0,0.0,0.0,100.0,
PJM,100.0,45,5,50,0,260,0.0,0.0,0.0,100.0,
PJM,100.0,45,10,45,0,260,0.0,0.0,0.0,100.0,
PJM,100.0,45,15,40,0,260,0.0,0.0,0.0,100.0,
PJM,100.0,45,20,35,0,260,0.0,0.0,0.0,100.0,
PJM,100.0,45,25,30,0,270,0.0,0.0,0.0,100.0,
PJM,100.0,45,30,25,0,270,0.0,0.0,0.0,100.0,
PJM,100.0,45,35,20,0,280,0.0,0.0,0.0,100.0,
PJM,100.0,45,40,15,0,280,0.0,0.0,0.0,100.0,
PJM,100.0,45,45,10,0,290,0.0,0.0,0.0,100.0,
PJM,100.0,45,50,5,0,290,0.0,0.0,0.0,100.0,
PJM,100.0,45,55,0,0,310,0.0,0.0,0.0,100.0,
PJM,100.0,50,0,50,0,250,0.0,0.0,0.0,100.0,
PJM,100.0,50,5,45,0,240,0.0,0.0,0.0,100.0,
PJM,100.0,50,10,40,0,240,0.0,0.0,0.0,100.0,
PJM,100.0,50,15,35,0,240,0.0,0.0,0.0,100.0,
PJM,100.0,50,20,30,0,240,0.0,0.0,0.0,100.0,
PJM,100.0,50,25,25,0,250,0.0,0.0,0.0,100.0,
PJM,100.0,50,30,20,0,250,0.0,0.0,0.0,100.0,
PJM,100.0,50,35,15,0,260,0.0,0.0,0.0,100.0,
