iso,threshold,scenario,year,growth_level,growth_factor,annual_demand_mwh,mix_clean_firm,mix_solar,mix_wind,mix_ccs_ccgt,mix_hydro,procurement_pct,hourly_match_score,battery_dispatch_pct,battery8_dispatch_pct,ldes_dispatch_pct,tranche_cf_existing_twh,tranche_uprate_twh,tranche_geo_twh,tranche_new_cf_twh,tranche_nuclear_newbuild_twh,tranche_ccs_tranche_twh,ra_gas_needed_mw,ra_existing_gas_mw,ra_new_gas_mw,cost_total_cost,cost_effective_cost,cost_incremental
PJM,90.0,LLLL_L_N_L1_X,2040,Low,1.250232,1054359459.0,0,58,41,0,1,127,93.95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,183468,75000,108468,72.12,76.77,48.77
PJM,90.0,LLLL_L_N_L1_X,2040,Medium,1.427248,1203642224.0,0,58,41,0,1,127,93.95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,177562,75000,102562,70.38,74.92,46.92
PJM,90.0,LLLL_L_N_L1_X,2040,High,1.699794,1433489103.0,0,58,41,0,1,127,93.95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,168470,75000,93470,68.42,72.82,44.82
PJM,90.0,LLLL_L_N_L0_X,2040,Low,1.250232,1054359459.0,0,58,41,0,1,127,93.95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,183468,75000,108468,72.12,76.77,48.77
PJM,90.0,LLLL_L_N_L0_X,2040,Medium,1.427248,1203642224.0,0,58,41,0,1,127,93.95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,177562,75000,102562,70.38,74.92,46.92
PJM,90.0,LLLL_L_N_L0_X,2040,High,1.699794,1433489103.0,0,58,41,0,1,127,93.95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,168470,75000,93470,68.42,72.82,44.82
PJM,90.0,LLLL_L_N_M1_X,2040,Low,1.250232,1054359459.0,0,58,41,0,1,127,93.95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,183468,75000,108468,72.12,76.77,48.77
PJM,90.0,LLLL_L_N_M1_X,2040,Medium,1.427248,1203642224.0,0,58,41,0,1,127,93.95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,177562,75000,102562,70.38,74.92,46.92
PJM,90.0,LLLL_L_N_M1_X,2040,High,1.699794,1433489103.0,0,58,41,0,1,127,93.95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,168470,75000,93470,68.42,72.82,44.82
PJM,90.0,LLLL_L_N_M0_X,2040,Low,1.250232,1054359459.0,0,58,41,0,1,127,93.95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,183468,75000,108468,72.12,76.77,48.77
PJM,90.0,LLLL_L_N_M0_X,2040,Medium,1.427248,1203642224.0,0,58,41,0,1,127,93.95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,177562,75000,102562,70.38,74.92,46.92
PJM,90.0,LLLL_L_N_M0_X,2040,High,1.699794,1433489103.0,0,58,41,0,1,127,93.95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,168470,75000,93470,68.42,72.82,44.82
PJM,90.0,LLLL_L_N_H1_X,2040,Low,1.250232,1054359459.0,0,58,41,0,1,127,93.95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,183468,75000,108468,72.12,76.77,48.77
PJM,90.0,LLLL_L_N_H1_X,2040,Medium,1.427248,1203642224.0,0,58,41,0,1,127,93.95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,177562,75000,102562,70.38,74.92,46.92
PJM,90.0,LLLL_L_N_H1_X,2040,High,1.699794,1433489103.0,0,58,41,0,1,127,93.95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,168470,75000,93470,68.42,72.82,44.82
PJM,90.0,LLLL_L_N_H0_X,2040,Low,1.250232,1054359459.0,0,58,41,0,1,127,93.95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,183468,75000,108468,72.12,76.77,48.77
PJM,90.0,LLLL_L_N_H0_X,2040,Medium,1.427248,1203642224.0,0,58,41,0,1,127,93.95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,177562,75000,102562,70.38,74.92,46.92
PJM,90.0,LLLL_L_N_H0_X,2040,High,1.699794,1433489103.0,0,58,41,0,1,127,93.95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,168470,75000,93470,68.42,72.82,44.82
PJM,90.0,LLLL_L_L_L1_X,2040,Low,1.250232,1054359459.0,0,58,41,0,1,127,93.95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,183468,75000,108468,76.0,80.89,52.89
PJM,90.0,LLLL_L_L_L1_X,2040,Medium,1.427248,1203642224.0,0,58,41,0,1,127,93.95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,177562,75000,102562,74.29,79.07,51.07
