iso,threshold,clean_firm,solar,wind,ccs_ccgt,hydro,procurement_pct,hourly_match_score,battery_dispatch_pct,battery8_dispatch_pct,ldes_dispatch_pct
PJM,50.0,32,2,65,0,1,55,53.73,0,0,0
PJM,50.0,32,6,61,0,1,80,75.02,0,0,0
PJM,50.0,32,10,57,0,1,122,93.17,0,0,0
PJM,50.0,32,15,52,0,1,55,52.5,0,0,0
PJM,50.0,32,19,48,0,1,85,76.84,0,0,0
PJM,50.0,32,23,44,0,1,127,92.74,0,0,0
PJM,50.0,32,28,39,0,1,55,51.14,0,0,0
PJM,50.0,32,32,35,0,1,95,77.16,0,0,0
PJM,50.0,32,36,31,0,1,147,92.87,0,0,0
PJM,50.0,32,41,26,0,1,60,53.1,0,0,0
PJM,50.0,32,45,22,0,1,110,75.09,0,0,0
PJM,50.0,32,49,18,0,1,240,99.01,0,0,0
PJM,50.0,32,53,14,0,1,155,99.11,0,0,0
PJM,50.0,32,54,13,0,1,160,99.15,0,0,0
PJM,50.0,32,56,11,0,1,190,99.16,0,0,1
PJM,50.0,32,57,10,0,1,165,99.06,0,0,0
PJM,50.0,32,58,9,0,1,170,99.21,0,0,0
PJM,50.0,32,59,8,0,1,200,99.02,0,0,1
PJM,50.0,32,60,7,0,1,170,99.05,0,0,0
PJM,50.0,32,61,6,0,1,215,99.33,0,0,1
PJM,50.0,32,61,6,0,1,175,99.06,0,1,0
PJM,50.0,32,62,5,0,1,205,99.21,0,0,1
PJM,50.0,32,63,4,0,1,125,65.57,0,0,0
PJM,50.0,32,63,4,0,1,145,95.14,0,0,0
PJM,50.0,32,64,3,0,1,215,99.08,0,0,1
PJM,50.0,32,64,3,0,1,240,100.0,0,0,0
PJM,50.0,32,64,3,0,1,240,100.0,0,0,0
PJM,50.0,33,5,61,0,1,107,88.54,0,0,0
PJM,50.0,33,9,57,0,1,180,99.08,0,0,0
PJM,50.0,33,14,52,0,1,70,66.3,0,0,0
PJM,50.0,33,18,48,0,1,107,88.48,0,0,0
PJM,50.0,33,22,44,0,1,190,99.05,0,0,0
PJM,50.0,33,27,39,0,1,75,67.51,0,0,0
PJM,50.0,33,31,35,0,1,122,88.77,0,0,0
PJM,50.0,33,35,31,0,1,210,99.1,0,0,0
PJM,50.0,33,40,26,0,1,80,65.23,0,0,0
PJM,50.0,33,44,22,0,1,147,88.77,0,0,0
PJM,50.0,33,48,18,0,1,235,99.02,0,0,0
PJM,50.0,33,53,13,0,1,130,75.59,0,0,0
PJM,50.0,33,55,11,0,1,190,90.86,0,0,0
PJM,50.0,33,56,10,0,1,165,99.29,0,0,0
PJM,50.0,33,57,9,0,1,165,99.03,0,1,0
PJM,50.0,33,59,7,0,1,190,99.19,0,0,1
PJM,50.0,33,59,7,0,1,230,100.0,0,1,0
PJM,50.0,33,60,6,0,1,330,100.0,0,1,0
PJM,50.0,33,60,6,0,1,175,99.18,0,1,0
PJM,50.0,33,61,5,0,1,175,99.04,0,0,0
PJM,50.0,33,62,4,0,1,180,99.29,0,0,0
PJM,50.0,33,62,4,0,1,165,98.01,0,0,0
PJM,50.0,33,63,3,0,1,180,99.13,0,0,0
PJM,50.0,33,63,3,0,1,145,95.04,0,0,0
PJM,50.0,33,63,3,0,1,330,100.0,0,1,0
PJM,50.0,34,6,59,0,1,65,62.79,0,0,0
PJM,50.0,34,10,55,0,1,100,86.45,0,0,0
PJM,50.0,34,14,51,0,1,155,97.74,0,0,0
PJM,50.0,34,19,46,0,1,65,61.15,0,0,0
PJM,50.0,34,23,42,0,1,105,86.29,0,0,0
PJM,50.0,34,27,38,0,1,170,97.83,0,0,0
PJM,50.0,34,32,33,0,1,70,62.46,0,0,0
PJM,50.0,34,36,29,0,1,120,85.36,0,0,0
PJM,50.0,34,40,25,0,1,190,97.72,0,0,0
PJM,50.0,34,45,20,0,1,75,60.33,0,0,0
PJM,50.0,34,49,16,0,1,150,85.62,0,0,0
PJM,50.0,34,53,12,0,1,225,97.78,0,0,0
PJM,50.0,34,56,9,0,1,65,51.0,0,0,0
PJM,50.0,34,57,8,0,1,165,99.25,0,0,0
PJM,50.0,34,58,7,0,1,170,99.16,0,1,0
PJM,50.0,34,60,5,0,1,195,86.24,0,0,0
PJM,50.0,34,60,5,0,1,160,97.93,0,0,0
PJM,50.0,34,61,4,0,1,175,99.01,0,0,0
PJM,50.0,34,62,3,0,1,165,98.04,0,1,0
PJM,50.0,35,3,61,0,1,90,81.34,0,0,0
PJM,50.0,35,7,57,0,1,135,95.68,0,0,0
PJM,50.0,35,12,52,0,1,60,57.44,0,0,0
PJM,50.0,35,16,48,0,1,90,80.82,0,0,0
PJM,50.0,35,20,44,0,1,135,95.16,0,0,0
PJM,50.0,35,25,39,0,1,60,55.87,0,0,0
PJM,50.0,35,29,35,0,1,100,81.22,0,0,0
PJM,50.0,35,33,31,0,1,155,95.52,0,0,0
PJM,50.0,35,38,26,0,1,65,57.26,0,0,0
PJM,50.0,35,42,22,0,1,120,81.07,0,0,0
PJM,50.0,35,46,18,0,1,180,95.13,0,0,0
PJM,50.0,35,51,13,0,1,70,55.27,0,0,0
PJM,50.0,35,55,9,0,1,170,85.46,0,0,0
PJM,50.0,35,57,7,0,1,240,97.86,0,0,0
PJM,50.0,35,58,6,0,1,170,99.14,0,0,0
PJM,50.0,35,60,4,0,1,70,51.29,0,0,0
PJM,50.0,35,60,4,0,1,175,99.13,0,0,0
PJM,50.0,35,61,3,0,1,180,99.25,0,0,0
PJM,50.0,36,4,59,0,1,75,71.54,0,0,0
PJM,50.0,36,8,55,0,1,110,90.36,0,0,0
PJM,50.0,36,12,51,0,1,290,100.0,0,0,0
PJM,50.0,36,17,46,0,1,80,73.84,0,0,0
PJM,50.0,36,21,42,0,1,115,90.65,0,0,0
PJM,50.0,36,25,38,0,1,300,100.0,0,0,0
