iso,track,threshold,scenario,year,growth_level,growth_factor,annual_demand_mwh,mix_clean_firm,mix_solar,mix_wind,mix_ccs_ccgt,mix_hydro,procurement_pct,hourly_match_score,battery_dispatch_pct,battery8_dispatch_pct,ldes_dispatch_pct,tranche_cf_existing_twh,tranche_uprate_twh,tranche_geo_twh,tranche_new_cf_twh,tranche_nuclear_newbuild_twh,tranche_ccs_tranche_twh,ra_gas_needed_mw,ra_existing_gas_mw,ra_new_gas_mw,cost_total_cost,cost_effective_cost,cost_incremental
PJM,newbuild,60.0,LLLL_L_N_L1_X,2033,Low,1.126493,950006120.0,53,5,42,0,0,65,62.39,0,0,0,270.709,20.183,0.0,56.568,0.0,36.385,174714,75000,99714,35.42,56.77,28.77
PJM,newbuild,60.0,LLLL_L_N_L1_X,2033,Medium,1.208926,1019524620.0,53,5,42,0,0,65,62.39,0,0,0,270.709,20.183,0.0,80.517,0.0,60.334,171022,75000,96022,35.09,56.24,28.24
PJM,newbuild,60.0,LLLL_L_N_L1_X,2033,High,1.327022,1119118585.0,53,5,42,0,0,65,62.39,0,0,0,270.709,20.183,0.0,114.827,0.0,94.644,165731,75000,90731,34.68,55.59,27.59
PJM,newbuild,60.0,LLLL_L_N_L0_X,2033,Low,1.126493,950006120.0,53,5,42,0,0,65,62.39,0,0,0,270.709,20.183,0.0,56.568,36.385,0.0,174714,75000,99714,35.8,57.38,29.38
PJM,newbuild,60.0,LLLL_L_N_L0_X,2033,Medium,1.208926,1019524620.0,53,5,42,0,0,65,62.39,0,0,0,270.709,20.183,0.0,80.517,60.334,0.0,171022,75000,96022,35.68,57.18,29.18
PJM,newbuild,60.0,LLLL_L_N_L0_X,2033,High,1.327022,1119118585.0,53,5,42,0,0,65,62.39,0,0,0,270.709,20.183,0.0,114.827,94.644,0.0,165731,75000,90731,35.53,56.95,28.95
PJM,newbuild,60.0,LLLL_L_N_M1_X,2033,Low,1.126493,950006120.0,53,5,42,0,0,65,62.39,0,0,0,270.709,20.183,0.0,56.568,36.385,0.0,174714,75000,99714,35.8,57.38,29.38
PJM,newbuild,60.0,LLLL_L_N_M1_X,2033,Medium,1.208926,1019524620.0,53,5,42,0,0,65,62.39,0,0,0,270.709,20.183,0.0,80.517,60.334,0.0,171022,75000,96022,35.68,57.18,29.18
PJM,newbuild,60.0,LLLL_L_N_M1_X,2033,High,1.327022,1119118585.0,53,5,42,0,0,65,62.39,0,0,0,270.709,20.183,0.0,114.827,94.644,0.0,165731,75000,90731,35.53,56.95,28.95
PJM,newbuild,60.0,LLLL_L_N_M0_X,2033,Low,1.126493,950006120.0,53,5,42,0,0,65,62.39,0,0,0,270.709,20.183,0.0,56.568,36.385,0.0,174714,75000,99714,35.8,57.38,29.38
PJM,newbuild,60.0,LLLL_L_N_M0_X,2033,Medium,1.208926,1019524620.0,53,5,42,0,0,65,62.39,0,0,0,270.709,20.183,0.0,80.517,60.334,0.0,171022,75000,96022,35.68,57.18,29.18
PJM,newbuild,60.0,LLLL_L_N_M0_X,2033,High,1.327022,1119118585.0,53,5,42,0,0,65,62.39,0,0,0,270.709,20.183,0.0,114.827,94.644,0.0,165731,75000,90731,35.53,56.95,28.95
PJM,newbuild,60.0,LLLL_L_N_H1_X,2033,Low,1.126493,950006120.0,53,5,42,0,0,65,62.39,0,0,0,270.709,20.183,0.0,56.568,36.385,0.0,174714,75000,99714,35.8,57.38,29.38
PJM,newbuild,60.0,LLLL_L_N_H1_X,2033,Medium,1.208926,1019524620.0,53,5,42,0,0,65,62.39,0,0,0,270.709,20.183,0.0,80.517,60.334,0.0,171022,75000,96022,35.68,57.18,29.18
PJM,newbuild,60.0,LLLL_L_N_H1_X,2033,High,1.327022,1119118585.0,53,5,42,0,0,65,62.39,0,0,0,270.709,20.183,0.0,114.827,94.644,0.0,165731,75000,90731,35.53,56.95,28.95
PJM,newbuild,60.0,LLLL_L_N_H0_X,2033,Low,1.126493,950006120.0,53,5,42,0,0,65,62.39,0,0,0,270.709,20.183,0.0,56.568,36.385,0.0,174714,75000,99714,35.8,57.38,29.38
PJM,newbuild,60.0,LLLL_L_N_H0_X,2033,Medium,1.208926,1019524620.0,53,5,42,0,0,65,62.39,0,0,0,270.709,20.183,0.0,80.517,60.334,0.0,171022,75000,96022,35.68,57.18,29.18
PJM,newbuild,60.0,LLLL_L_N_H0_X,2033,High,1.327022,1119118585.0,53,5,42,0,0,65,62.39,0,0,0,270.709,20.183,0.0,114.827,94.644,0.0,165731,75000,90731,35.53,56.95,28.95
PJM,newbuild,60.0,LLLL_L_L_L1_X,2033,Low,1.126493,950006120.0,75,19,6,0,0,65,60.0,0,0,0,270.709,20.183,0.0,192.419,0.0,172.236,155286,75000,80286,36.21,60.36,32.36
PJM,newbuild,60.0,LLLL_L_L_L1_X,2033,Medium,1.208926,1019524620.0,75,19,6,0,0,65,60.0,0,0,0,270.709,20.183,0.0,226.309,0.0,206.126,150172,75000,75172,35.92,59.86,31.86
PJM,newbuild,60.0,LLLL_L_L_L1_X,2033,High,1.327022,1119118585.0,75,19,6,0,0,65,60.0,0,0,0,270.709,20.183,0.0,274.861,0.0,254.678,142845,75000,67845,35.56,59.26,31.26
PJM,newbuild,60.0,LLLL_L_L_L0_X,2033,Low,1.126493,950006120.0,53,23,24,0,0,65,60.1,0,0,0,270.709,20.183,0.0,56.568,36.385,0.0,171619,75000,96619,36.73,61.11,33.11
PJM,newbuild,60.0,LLLL_L_L_L0_X,2033,Medium,1.208926,1019524620.0,53,23,24,0,0,65,60.1,0,0,0,270.709,20.183,0.0,80.517,60.334,0.0,167700,75000,92700,36.64,60.96,32.96
PJM,newbuild,60.0,LLLL_L_L_L0_X,2033,High,1.327022,1119118585.0,53,23,24,0,0,65,60.1,0,0,0,270.709,20.183,0.0,114.827,94.644,0.0,162086,75000,87086,36.53,60.79,32.79
PJM,newbuild,60.0,LLLL_L_L_M1_X,2033,Low,1.126493,950006120.0,53,23,24,0,0,65,60.1,0,0,0,270.709,20.183,0.0,56.568,36.385,0.0,171619,75000,96619,36.73,61.11,33.11
PJM,newbuild,60.0,LLLL_L_L_M1_X,2033,Medium,1.208926,1019524620.0,53,23,24,0,0,65,60.1,0,0,0,270.709,20.183,0.0,80.517,60.334,0.0,167700,75000,92700,36.64,60.96,32.96
PJM,newbuild,60.0,LLLL_L_L_M1_X,2033,High,1.327022,1119118585.0,53,23,24,0,0,65,60.1,0,0,0,270.709,20.183,0.0,114.827,94.644,0.0,162086,75000,87086,36.53,60.79,32.79
PJM,newbuild,60.0,LLLL_L_L_M0_X,2033,Low,1.126493,950006120.0,53,23,24,0,0,65,60.1,0,0,0,270.709,20.183,0.0,56.568,36.385,0.0,171619,75000,96619,36.73,61.11,33.11
