iso,track,threshold,scenario,year,growth_level,growth_factor,annual_demand_mwh,mix_clean_firm,mix_solar,mix_wind,mix_ccs_ccgt,mix_hydro,procurement_pct,hourly_match_score,battery_dispatch_pct,battery8_dispatch_pct,ldes_dispatch_pct,tranche_cf_existing_twh,tranche_uprate_twh,tranche_geo_twh,tranche_new_cf_twh,tranche_nuclear_newbuild_twh,tranche_ccs_tranche_twh,ra_gas_needed_mw,ra_existing_gas_mw,ra_new_gas_mw,cost_total_cost,cost_effective_cost,cost_incremental
PJM,newbuild,92.5,LLLL_L_N_L1_X,2043,Low,1.307341,1102520886.0,80,3,17,0,0,102,92.55,0,0,0,270.709,20.183,0.0,628.948,0.0,608.765,95861,75000,20861,52.85,57.1,29.1
PJM,newbuild,92.5,LLLL_L_N_L1_X,2043,Medium,1.532496,1292400997.0,80,3,17,0,0,102,92.55,0,0,0,270.709,20.183,0.0,783.89,0.0,763.707,73589,73589,0,52.33,56.54,28.54
PJM,newbuild,92.5,LLLL_L_N_L1_X,2043,High,1.89006,1593946213.0,80,3,17,0,0,102,92.55,0,0,0,270.709,20.183,0.0,1029.951,0.0,1009.768,38221,38221,0,53.52,57.83,29.83
PJM,newbuild,92.5,LLLL_L_N_L0_X,2043,Low,1.307341,1102520886.0,80,3,17,0,0,102,92.55,0,0,0,270.709,20.183,0.0,628.948,608.765,0.0,95861,75000,20861,58.37,63.07,35.07
PJM,newbuild,92.5,LLLL_L_N_L0_X,2043,Medium,1.532496,1292400997.0,80,3,17,0,0,102,92.55,0,0,0,270.709,20.183,0.0,783.89,763.707,0.0,73589,73589,0,58.24,62.92,34.92
PJM,newbuild,92.5,LLLL_L_N_L0_X,2043,High,1.89006,1593946213.0,60,7,33,0,0,107,92.52,0,0,0,270.709,20.183,0.0,752.604,732.421,0.0,69895,69895,0,58.26,62.98,34.98
PJM,newbuild,92.5,LLLL_L_N_M1_X,2043,Low,1.307341,1102520886.0,80,3,17,0,0,102,92.55,0,0,0,270.709,20.183,0.0,628.948,608.765,0.0,95861,75000,20861,58.37,63.07,35.07
PJM,newbuild,92.5,LLLL_L_N_M1_X,2043,Medium,1.532496,1292400997.0,80,3,17,0,0,102,92.55,0,0,0,270.709,20.183,0.0,783.89,763.707,0.0,73589,73589,0,58.24,62.92,34.92
PJM,newbuild,92.5,LLLL_L_N_M1_X,2043,High,1.89006,1593946213.0,60,7,33,0,0,107,92.52,0,0,0,270.709,20.183,0.0,752.604,732.421,0.0,69895,69895,0,58.26,62.98,34.98
PJM,newbuild,92.5,LLLL_L_N_M0_X,2043,Low,1.307341,1102520886.0,80,3,17,0,0,102,92.55,0,0,0,270.709,20.183,0.0,628.948,608.765,0.0,95861,75000,20861,58.37,63.07,35.07
PJM,newbuild,92.5,LLLL_L_N_M0_X,2043,Medium,1.532496,1292400997.0,80,3,17,0,0,102,92.55,0,0,0,270.709,20.183,0.0,783.89,763.707,0.0,73589,73589,0,58.24,62.92,34.92
PJM,newbuild,92.5,LLLL_L_N_M0_X,2043,High,1.89006,1593946213.0,60,7,33,0,0,107,92.52,0,0,0,270.709,20.183,0.0,752.604,732.421,0.0,69895,69895,0,58.26,62.98,34.98
PJM,newbuild,92.5,LLLL_L_N_H1_X,2043,Low,1.307341,1102520886.0,80,3,17,0,0,102,92.55,0,0,0,270.709,20.183,0.0,628.948,608.765,0.0,95861,75000,20861,58.37,63.07,35.07
PJM,newbuild,92.5,LLLL_L_N_H1_X,2043,Medium,1.532496,1292400997.0,80,3,17,0,0,102,92.55,0,0,0,270.709,20.183,0.0,783.89,763.707,0.0,73589,73589,0,58.24,62.92,34.92
