iso,threshold,scenario,year,growth_level,growth_factor,annual_demand_mwh,mix_clean_firm,mix_solar,mix_wind,mix_ccs_ccgt,mix_hydro,procurement_pct,hourly_match_score,battery_dispatch_pct,battery8_dispatch_pct,ldes_dispatch_pct,tranche_cf_existing_twh,tranche_uprate_twh,tranche_geo_twh,tranche_new_cf_twh,tranche_nuclear_newbuild_twh,tranche_ccs_tranche_twh,ra_gas_needed_mw,ra_existing_gas_mw,ra_new_gas_mw,cost_total_cost,cost_effective_cost,cost_incremental,no45q_total_cost,no45q_effective_cost,no45q_incremental,no45q_wholesale,ra_peak_demand_mw,ra_ra_peak_mw,ra_clean_peak_capacity_mw,ra_gas_backup_needed_mw,ra_existing_gas_used_mw,ra_new_gas_build_mw,ra_existing_gas_cost_per_mwh,ra_new_gas_cost_per_mwh,ra_gas_backup_cost_per_mwh,ra_total_system_cost_per_mwh,ra_clean_coverage_pct,co2_total_abated_tons,co2_rate_per_mwh,co2_emission_rate_tco2_mwh
PJM,95.0,LLLL_L_N_L1_X,2045,Low,1.346855,1135844580.0,0,58,41,0,1,130,95.13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,178489,75000,103489,73.1,76.84,48.84,62.11,65.28,37.28,28,216251,248689,37084,258055,75000,183055,0.92,15.96,16.88,93.72,14.9,630629525.0,0.5836,0.5836
PJM,95.0,LLLL_L_N_L1_X,2045,Medium,1.606938,1355180668.0,0,58,41,0,1,130,95.13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,169474,75000,94474,71.0,74.63,46.63,62.27,65.46,37.46,28,258010,296711,44244,307887,75000,232887,0.77,17.01,17.79,92.42,14.9,752406585.0,0.5836,0.5836
PJM,95.0,LLLL_L_N_L1_X,2045,High,2.028594,1710776095.0,0,58,41,0,1,130,95.13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,154858,75000,79858,68.73,72.25,44.25,62.44,65.64,37.64,28,325711,374568,55854,388675,75000,313675,0.61,18.15,18.77,91.02,14.9,949835863.0,0.5836,0.5836
PJM,95.0,LLLL_L_N_L0_X,2045,Low,1.346855,1135844580.0,0,58,41,0,1,130,95.13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,178489,75000,103489,73.1,76.84,48.84,62.11,65.28,37.28,28,216251,248689,37084,258055,75000,183055,0.92,15.96,16.88,93.72,14.9,630629525.0,0.5836,0.5836
PJM,95.0,LLLL_L_N_L0_X,2045,Medium,1.606938,1355180668.0,0,58,41,0,1,130,95.13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,169474,75000,94474,71.0,74.63,46.63,62.27,65.46,37.46,28,258010,296711,44244,307887,75000,232887,0.77,17.01,17.79,92.42,14.9,752406585.0,0.5836,0.5836
PJM,95.0,LLLL_L_N_L0_X,2045,High,2.028594,1710776095.0,0,58,41,0,1,130,95.13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,154858,75000,79858,68.73,72.25,44.25,62.44,65.64,37.64,28,325711,374568,55854,388675,75000,313675,0.61,18.15,18.77,91.02,14.9,949835863.0,0.5836,0.5836
PJM,95.0,LLLL_L_N_M1_X,2045,Low,1.346855,1135844580.0,0,58,41,0,1,130,95.13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,178489,75000,103489,73.1,76.84,48.84,62.11,65.28,37.28,28,216251,248689,37084,258055,75000,183055,0.92,15.96,16.88,93.72,14.9,630629525.0,0.5836,0.5836
PJM,95.0,LLLL_L_N_M1_X,2045,Medium,1.606938,1355180668.0,0,58,41,0,1,130,95.13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,169474,75000,94474,71.0,74.63,46.63,62.27,65.46,37.46,28,258010,296711,44244,307887,75000,232887,0.77,17.01,17.79,92.42,14.9,752406585.0,0.5836,0.5836
PJM,95.0,LLLL_L_N_M1_X,2045,High,2.028594,1710776095.0,0,58,41,0,1,130,95.13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,154858,75000,79858,68.73,72.25,44.25,62.44,65.64,37.64,28,325711,374568,55854,388675,75000,313675,0.61,18.15,18.77,91.02,14.9,949835863.0,0.5836,0.5836
PJM,95.0,LLLL_L_N_M0_X,2045,Low,1.346855,1135844580.0,0,58,41,0,1,130,95.13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,178489,75000,103489,73.1,76.84,48.84,62.11,65.28,37.28,28,216251,248689,37084,258055,75000,183055,0.92,15.96,16.88,93.72,14.9,630629525.0,0.5836,0.5836
PJM,95.0,LLLL_L_N_M0_X,2045,Medium,1.606938,1355180668.0,0,58,41,0,1,130,95.13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,169474,75000,94474,71.0,74.63,46.63,62.27,65.46,37.46,28,258010,296711,44244,307887,75000,232887,0.77,17.01,17.79,92.42,14.9,752406585.0,0.5836,0.5836
PJM,95.0,LLLL_L_N_M0_X,2045,High,2.028594,1710776095.0,0,58,41,0,1,130,95.13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,154858,75000,79858,68.73,72.25,44.25,62.44,65.64,37.64,28,325711,374568,55854,388675,75000,313675,0.61,18.15,18.77,91.02,14.9,949835863.0,0.5836,0.5836
PJM,95.0,LLLL_L_N_H1_X,2045,Low,1.346855,1135844580.0,0,58,41,0,1,130,95.13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,178489,75000,103489,73.1,76.84,48.84,62.11,65.28,37.28,28,216251,248689,37084,258055,75000,183055,0.92,15.96,16.88,93.72,14.9,630629525.0,0.5836,0.5836
