iso,threshold,scenario,year,growth_level,growth_factor,annual_demand_mwh,mix_clean_firm,mix_solar,mix_wind,mix_ccs_ccgt,mix_hydro,procurement_pct,hourly_match_score,battery_dispatch_pct,battery8_dispatch_pct,ldes_dispatch_pct,tranche_cf_existing_twh,tranche_uprate_twh,tranche_geo_twh,tranche_new_cf_twh,tranche_nuclear_newbuild_twh,tranche_ccs_tranche_twh,ra_gas_needed_mw,ra_existing_gas_mw,ra_new_gas_mw,cost_total_cost,cost_effective_cost,cost_incremental,no45q_total_cost,no45q_effective_cost,no45q_incremental,no45q_wholesale,ra_peak_demand_mw,ra_ra_peak_mw,ra_clean_peak_capacity_mw,ra_gas_backup_needed_mw,ra_existing_gas_used_mw,ra_new_gas_build_mw,ra_existing_gas_cost_per_mwh,ra_new_gas_cost_per_mwh,ra_gas_backup_cost_per_mwh,ra_total_system_cost_per_mwh,ra_clean_coverage_pct,co2_total_abated_tons,co2_rate_per_mwh,co2_emission_rate_tco2_mwh
PJM,97.5,LLLL_L_N_L1_X,2048,Low,1.408377,1187728114.0,0,53,46,0,1,145,97.69,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,172864,75000,97864,79.24,81.11,53.11,69.21,70.85,42.85,28,226129,260048,41286,266784,75000,191784,0.88,15.99,16.87,97.98,15.9,667477432.0,0.5753,0.5753
PJM,97.5,LLLL_L_N_L1_X,2048,Medium,1.725437,1455114162.0,0,53,46,0,1,145,97.69,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,161087,75000,86087,76.96,78.78,50.78,69.39,71.03,43.03,28,277036,318592,50580,326843,75000,251843,0.72,17.13,17.86,96.64,15.9,817742589.0,0.5753,0.5753
PJM,97.5,LLLL_L_N_L1_X,2048,High,2.255664,1902271228.0,0,53,46,0,1,145,97.69,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,141392,75000,66392,74.57,76.33,48.33,69.58,71.22,43.22,28,362169,416495,66123,427282,75000,352282,0.55,18.33,18.89,95.22,15.9,1069035159.0,0.5753,0.5753
PJM,97.5,LLLL_L_N_L0_X,2048,Low,1.408377,1187728114.0,0,53,46,0,1,145,97.69,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,172864,75000,97864,79.24,81.11,53.11,69.21,70.85,42.85,28,226129,260048,41286,266784,75000,191784,0.88,15.99,16.87,97.98,15.9,667477432.0,0.5753,0.5753
PJM,97.5,LLLL_L_N_L0_X,2048,Medium,1.725437,1455114162.0,0,53,46,0,1,145,97.69,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,161087,75000,86087,76.96,78.78,50.78,69.39,71.03,43.03,28,277036,318592,50580,326843,75000,251843,0.72,17.13,17.86,96.64,15.9,817742589.0,0.5753,0.5753
PJM,97.5,LLLL_L_N_L0_X,2048,High,2.255664,1902271228.0,0,53,46,0,1,145,97.69,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,141392,75000,66392,74.57,76.33,48.33,69.58,71.22,43.22,28,362169,416495,66123,427282,75000,352282,0.55,18.33,18.89,95.22,15.9,1069035159.0,0.5753,0.5753
PJM,97.5,LLLL_L_N_M1_X,2048,Low,1.408377,1187728114.0,0,53,46,0,1,145,97.69,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,172864,75000,97864,79.24,81.11,53.11,69.21,70.85,42.85,28,226129,260048,41286,266784,75000,191784,0.88,15.99,16.87,97.98,15.9,667477432.0,0.5753,0.5753
PJM,97.5,LLLL_L_N_M1_X,2048,Medium,1.725437,1455114162.0,0,53,46,0,1,145,97.69,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,161087,75000,86087,76.96,78.78,50.78,69.39,71.03,43.03,28,277036,318592,50580,326843,75000,251843,0.72,17.13,17.86,96.64,15.9,817742589.0,0.5753,0.5753
PJM,97.5,LLLL_L_N_M1_X,2048,High,2.255664,1902271228.0,0,53,46,0,1,145,97.69,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,141392,75000,66392,74.57,76.33,48.33,69.58,71.22,43.22,28,362169,416495,66123,427282,75000,352282,0.55,18.33,18.89,95.22,15.9,1069035159.0,0.5753,0.5753
PJM,97.5,LLLL_L_N_M0_X,2048,Low,1.408377,1187728114.0,0,53,46,0,1,145,97.69,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,172864,75000,97864,79.24,81.11,53.11,69.21,70.85,42.85,28,226129,260048,41286,266784,75000,191784,0.88,15.99,16.87,97.98,15.9,667477432.0,0.5753,0.5753
