scenario_key,resource_mix_clean_firm,resource_mix_solar,resource_mix_wind,resource_mix_ccs_ccgt,resource_mix_hydro,costs_total_cost,costs_effective_cost,costs_incremental,costs_wholesale,procurement_pct,hourly_match_score,battery_dispatch_pct,battery8_dispatch_pct,ldes_dispatch_pct,co2_abated_total_co2_abated_tons,co2_abated_co2_rate_per_mwh,co2_abated_matched_mwh,co2_abated_emission_rate_tco2_mwh,co2_abated_methodology,co2_abated_retirement_info_coal_displaced_twh,co2_abated_retirement_info_oil_displaced_twh,co2_abated_retirement_info_gas_displaced_twh,co2_abated_retirement_info_displaced_rate_tco2_mwh,co2_abated_retirement_info_remaining_rate_tco2_mwh,co2_abated_retirement_info_forced_gas_only,co2_abated_retirement_info_demand_growth_factor,no_45q_costs_total_cost,no_45q_costs_effective_cost,no_45q_costs_incremental,no_45q_costs_wholesale,gas_backup_peak_demand_mw,gas_backup_ra_peak_mw,gas_backup_clean_peak_capacity_mw,gas_backup_gas_backup_needed_mw,gas_backup_existing_gas_used_mw,gas_backup_new_gas_build_mw,gas_backup_existing_gas_cost_per_mwh,gas_backup_new_gas_cost_per_mwh,gas_backup_gas_backup_cost_per_mwh,gas_backup_total_system_cost_per_mwh,gas_backup_incremental_with_new_gas,gas_backup_clean_coverage_pct,gas_backup_resource_adequacy_margin,gas_backup_gas_availability_factor,tranche_costs_new_cf_twh,tranche_costs_cf_existing_twh,tranche_costs_uprate_twh,tranche_costs_geo_twh,tranche_costs_ccs_tranche_twh,tranche_costs_nuclear_newbuild_twh
LLLL_L_N_L1_X,77,4,18,0,1,53.81,58.15,30.15,28.0,102,92.53,0,0,0,462581724.0,0.5928,780334174.0,0.5928,fast_match_score,139.09,4.59,293.99,0.5928,0.3933,True,1.0,40.87,44.17,16.17,28.0,160560.0,184644.0,79048.0,128776.0,75000.0,53776.0,1.25,6.31,7.56,65.71,64.46,42.8,0.15,0.82,391.643,270.709,20.183,0.0,371.46,0.0
LLLL_L_N_L0_X,77,4,18,0,1,58.21,62.91,34.91,28.0,102,92.53,0,0,0,462581724.0,0.5928,780334174.0,0.5928,fast_match_score,139.09,4.59,293.99,0.5928,0.3933,True,1.0,40.87,44.17,16.17,28.0,160560.0,184644.0,79048.0,128776.0,75000.0,53776.0,1.25,6.31,7.56,70.47,69.22,42.8,0.15,0.82,391.643,270.709,20.183,0.0,0.0,371.46
LLLL_L_N_M1_X,77,4,18,0,1,58.21,62.91,34.91,28.0,102,92.53,0,0,0,462581724.0,0.5928,780334174.0,0.5928,fast_match_score,139.09,4.59,293.99,0.5928,0.3933,True,1.0,40.87,44.17,16.17,28.0,160560.0,184644.0,79048.0,128776.0,75000.0,53776.0,1.25,6.31,7.56,70.47,69.22,42.8,0.15,0.82,391.643,270.709,20.183,0.0,0.0,371.46
LLLL_L_N_M0_X,77,4,18,0,1,58.21,62.91,34.91,28.0,102,92.53,0,0,0,462581724.0,0.5928,780334174.0,0.5928,fast_match_score,139.09,4.59,293.99,0.5928,0.3933,True,1.0,40.87,44.17,16.17,28.0,160560.0,184644.0,79048.0,128776.0,75000.0,53776.0,1.25,6.31,7.56,70.47,69.22,42.8,0.15,0.82,391.643,270.709,20.183,0.0,0.0,371.46
LLLL_L_N_H1_X,77,4,18,0,1,58.21,62.91,34.91,28.0,102,92.53,0,0,0,462581724.0,0.5928,780334174.0,0.5928,fast_match_score,139.09,4.59,293.99,0.5928,0.3933,True,1.0,40.87,44.17,16.17,28.0,160560.0,184644.0,79048.0,128776.0,75000.0,53776.0,1.25,6.31,7.56,70.47,69.22,42.8,0.15,0.82,391.643,270.709,20.183,0.0,0.0,371.46
LLLL_L_N_H0_X,77,4,18,0,1,58.21,62.91,34.91,28.0,102,92.53,0,0,0,462581724.0,0.5928,780334174.0,0.5928,fast_match_score,139.09,4.59,293.99,0.5928,0.3933,True,1.0,40.87,44.17,16.17,28.0,160560.0,184644.0,79048.0,128776.0,75000.0,53776.0,1.25,6.31,7.56,70.47,69.22,42.8,0.15,0.82,391.643,270.709,20.183,0.0,0.0,371.46
LLLL_L_L_L1_X,88,7,4,0,1,54.76,59.08,31.08,28.0,102,92.68,0,0,0,463331613.0,0.5928,781599171.0,0.5928,fast_match_score,139.09,4.59,293.99,0.5928,0.3933,True,1.0,41.75,45.05,17.05,28.0,160560.0,184644.0,89358.0,116202.0,75000.0,41202.0,1.25,4.84,6.08,65.16,63.92,48.4,0.15,0.82,486.265,270.709,20.183,0.0,466.082,0.0
LLLL_L_L_L0_X,77,5,17,0,1,59.38,64.18,36.18,28.0,102,92.52,0,0,0,462531732.0,0.5928,780249841.0,0.5928,fast_match_score,139.09,4.59,293.99,0.5928,0.3933,True,1.0,42.09,45.49,17.49,28.0,160560.0,184644.0,79244.0,128536.0,75000.0,53536.0,1.25,6.28,7.53,71.71,70.46,42.9,0.15,0.82,391.643,270.709,20.183,0.0,0.0,371.46
LLLL_L_L_M1_X,77,5,17,0,1,59.38,64.18,36.18,28.0,102,92.52,0,0,0,462531732.0,0.5928,780249841.0,0.5928,fast_match_score,139.09,4.59,293.99,0.5928,0.3933,True,1.0,42.09,45.49,17.49,28.0,160560.0,184644.0,79244.0,128536.0,75000.0,53536.0,1.25,6.28,7.53,71.71,70.46,42.9,0.15,0.82,391.643,270.709,20.183,0.0,0.0,371.46
LLLL_L_L_M0_X,77,5,17,0,1,59.38,64.18,36.18,28.0,102,92.52,0,0,0,462531732.0,0.5928,780249841.0,0.5928,fast_match_score,139.09,4.59,293.99,0.5928,0.3933,True,1.0,42.09,45.49,17.49,28.0,160560.0,184644.0,79244.0,128536.0,75000.0,53536.0,1.25,6.28,7.53,71.71,70.46,42.9,0.15,0.82,391.643,270.709,20.183,0.0,0.0,371.46
