threshold,top_driver,top_driver_pct,total_variance,variance_explained_pct
50,renewable_gen,0.0,91.6239,"{'renewable_gen': 0.0, 'firm_gen': 0.0, 'storage': 0.0, 'fossil_fuel': 0.0, 'ccs': 0.0, 'transmission': 0.0, 'ccs_cost': 0.0, 'q45': 0.0}"
60,renewable_gen,0.06,80.4582,"{'renewable_gen': 0.06, 'firm_gen': 0.05, 'transmission': 0.03, 'ccs_cost': 0.03, 'q45': 0.01, 'storage': 0.0, 'fossil_fuel': 0.0, 'ccs': 0.0}"
70,renewable_gen,1.12,149.0675,"{'renewable_gen': 1.12, 'firm_gen': 0.74, 'ccs_cost': 0.42, 'q45': 0.14, 'transmission': 0.04, 'storage': 0.0, 'fossil_fuel': 0.0, 'ccs': 0.0}"
75,renewable_gen,2.08,143.1298,"{'renewable_gen': 2.08, 'firm_gen': 1.24, 'ccs_cost': 0.8, 'q45': 0.34, 'transmission': 0.14, 'storage': 0.02, 'fossil_fuel': 0.0, 'ccs': 0.0}"
80,renewable_gen,3.1,134.8537,"{'renewable_gen': 3.1, 'firm_gen': 1.9, 'ccs_cost': 1.36, 'q45': 0.69, 'transmission': 0.11, 'storage': 0.03, 'fossil_fuel': 0.0, 'ccs': 0.0}"
85,renewable_gen,2.98,118.4271,"{'renewable_gen': 2.98, 'firm_gen': 1.92, 'ccs_cost': 1.39, 'q45': 0.82, 'transmission': 0.17, 'storage': 0.0, 'fossil_fuel': 0.0, 'ccs': 0.0}"
87.5,renewable_gen,4.16,114.1485,"{'renewable_gen': 4.16, 'firm_gen': 1.93, 'ccs_cost': 1.51, 'q45': 1.14, 'transmission': 0.45, 'storage': 0.0, 'fossil_fuel': 0.0, 'ccs': 0.0}"
90,renewable_gen,3.43,101.1407,"{'renewable_gen': 3.43, 'firm_gen': 1.69, 'ccs_cost': 1.21, 'q45': 0.93, 'transmission': 0.63, 'storage': 0.0, 'fossil_fuel': 0.0, 'ccs': 0.0}"
92.5,renewable_gen,1.14,76.3783,"{'renewable_gen': 1.14, 'transmission': 0.89, 'firm_gen': 0.8, 'ccs_cost': 0.37, 'q45': 0.31, 'storage': 0.0, 'fossil_fuel': 0.0, 'ccs': 0.0}"
95,transmission,0.43,53.6772,"{'transmission': 0.43, 'renewable_gen': 0.2, 'ccs_cost': 0.1, 'q45': 0.1, 'firm_gen': 0.09, 'storage': 0.0, 'fossil_fuel': 0.0, 'ccs': 0.0}"
97.5,transmission,0.43,36.6523,"{'transmission': 0.43, 'renewable_gen': 0.16, 'firm_gen': 0.1, 'q45': 0.08, 'ccs_cost': 0.05, 'storage': 0.03, 'fossil_fuel': 0.0, 'ccs': 0.0}"
99,renewable_gen,5.06,27.1339,"{'renewable_gen': 5.06, 'firm_gen': 2.69, 'ccs_cost': 1.76, 'q45': 0.47, 'transmission': 0.07, 'storage': 0.0, 'fossil_fuel': 0.0, 'ccs': 0.0}"
100,renewable_gen,13.88,0.012,"{'renewable_gen': 13.88, 'transmission': 11.09, 'q45': 6.64, 'ccs_cost': 4.68, 'firm_gen': 4.51, 'storage': 0.0, 'fossil_fuel': 0.0, 'ccs': 0.0}"
