scenario,iso,zone_label,threshold_start,threshold_end,year_start,year_end,marginal_mac,co2_displaced_mt,delta_cost_per_mwh,gas_backup_mw_start,gas_backup_mw_end,delta_gas_mw,new_gas_mw_end,delta_clean_firm_twh,delta_solar_twh,delta_wind_twh,delta_ccs_ccgt_twh,delta_hydro_twh,delta_battery_twh,delta_ldes_twh
A_PureConsequential,ERCOT,55→60%,55,60,2031,2033,34.5,37.85,1.83,124601,133052,8451,78052,0.0,3.4,112.5,0.0,0.0,0.0,0.0
A_PureConsequential,ERCOT,50→55%,50,55,2030,2031,43.5,32.46,1.96,122929,124601,1672,69601,8.4,38.4,29.4,0.0,0.0,0.0,0.0
A_PureConsequential,ERCOT,60→65%,60,65,2033,2034,46.6,35.11,0.57,133052,137393,4341,82393,1.7,17.5,3.4,0.0,0.0,0.0,0.0
A_PureConsequential,PJM,50→55%,50,55,2030,2031,54.5,51.03,2.27,203721,206680,2959,131680,0.6,72.8,0.0,0.0,0.0,0.0,0.0
A_PureConsequential,ERCOT,65→70%,65,70,2034,2035,58.4,32.11,1.39,137393,142630,5237,87630,0.0,0.0,21.0,0.0,0.0,0.0,0.0
A_PureConsequential,ERCOT,75→90%,75,90,2036,2040,68.7,100.39,3.12,144373,163342,18969,108342,20.7,41.8,102.1,0.0,0.0,0.0,0.0
A_PureConsequential,PJM,60→65%,60,65,2033,2034,70.2,49.68,1.37,216636,221248,4612,146248,6.8,0.0,70.4,0.0,0.0,0.0,0.0
A_PureConsequential,ERCOT,90→95%,90,95,2040,2045,73.2,68.54,5.53,163342,190373,27031,135373,37.7,14.3,262.4,0.0,0.0,0.0,0.0
A_PureConsequential,ERCOT,95→97.5%,95,97.5,2045,2048,73.6,45.25,7.12,190373,204610,14237,149610,26.1,102.4,218.8,0.0,0.0,0.0,0.0
A_PureConsequential,PJM,55→60%,55,60,2031,2033,75.3,55.82,1.27,206680,216636,9956,141636,14.1,15.9,2.6,0.0,0.0,0.0,0.0
A_PureConsequential,ERCOT,97.5→99%,97.5,99,2048,2049,76.1,20.53,9.48,204610,203214,-1396,148214,36.7,44.4,252.2,0.0,0.0,0.0,0.0
A_PureConsequential,ERCOT,99→100%,99,100,2049,2050,86.1,18.17,17.95,203214,186032,-17182,131032,56.3,453.1,0.0,0.0,0.0,0.0,0.0
A_PureConsequential,PJM,65→70%,65,70,2034,2035,97.6,46.55,0.55,221248,226748,5500,151748,7.4,0.0,11.0,0.0,0.0,0.0,0.0
