datetime_utc,datetime_local,date_local,hour_local,demand_mw
2025-03-08 00:00,2025-03-07 18:00,2025-03-07,18,52069.0
2025-03-08 01:00,2025-03-07 19:00,2025-03-07,19,50780.0
2025-03-08 02:00,2025-03-07 20:00,2025-03-07,20,49921.0
2025-03-08 03:00,2025-03-07 21:00,2025-03-07,21,49109.0
2025-03-08 04:00,2025-03-07 22:00,2025-03-07,22,47894.0
2025-03-08 05:00,2025-03-07 23:00,2025-03-07,23,46329.0
2025-03-08 06:00,2025-03-08 00:00,2025-03-08,0,44386.0
2025-03-08 07:00,2025-03-08 01:00,2025-03-08,1,42712.0
2025-03-08 08:00,2025-03-08 02:00,2025-03-08,2,41406.0
2025-03-08 09:00,2025-03-08 03:00,2025-03-08,3,40560.0
2025-03-08 10:00,2025-03-08 04:00,2025-03-08,4,40094.0
2025-03-08 11:00,2025-03-08 05:00,2025-03-08,5,40038.0
2025-03-08 12:00,2025-03-08 06:00,2025-03-08,6,40727.0
2025-03-08 13:00,2025-03-08 07:00,2025-03-08,7,41911.0
2025-03-08 14:00,2025-03-08 08:00,2025-03-08,8,43026.0
2025-03-08 15:00,2025-03-08 09:00,2025-03-08,9,45181.0
2025-03-08 16:00,2025-03-08 10:00,2025-03-08,10,46961.0
2025-03-08 17:00,2025-03-08 11:00,2025-03-08,11,48598.0
2025-03-08 18:00,2025-03-08 12:00,2025-03-08,12,49886.0
2025-03-08 19:00,2025-03-08 13:00,2025-03-08,13,51035.0
2025-03-08 20:00,2025-03-08 14:00,2025-03-08,14,51791.0
2025-03-08 21:00,2025-03-08 15:00,2025-03-08,15,52389.0
2025-03-08 22:00,2025-03-08 16:00,2025-03-08,16,52572.0
2025-03-08 23:00,2025-03-08 17:00,2025-03-08,17,52442.0
2025-03-09 00:00,2025-03-08 18:00,2025-03-08,18,52135.0
2025-03-09 01:00,2025-03-08 19:00,2025-03-08,19,51819.0
2025-03-09 02:00,2025-03-08 20:00,2025-03-08,20,51256.0
2025-03-09 03:00,2025-03-08 21:00,2025-03-08,21,50144.0
2025-03-09 04:00,2025-03-08 22:00,2025-03-08,22,48709.0
2025-03-09 05:00,2025-03-08 23:00,2025-03-08,23,46878.0
2025-03-09 06:00,2025-03-09 00:00,2025-03-09,0,45016.0
2025-03-09 07:00,2025-03-09 01:00,2025-03-09,1,43106.0
2025-03-09 08:00,2025-03-09 03:00,2025-03-09,3,42350.0
2025-03-09 09:00,2025-03-09 04:00,2025-03-09,4,42021.0
2025-03-09 10:00,2025-03-09 05:00,2025-03-09,5,41972.0
2025-03-09 11:00,2025-03-09 06:00,2025-03-09,6,42423.0
2025-03-09 12:00,2025-03-09 07:00,2025-03-09,7,43356.0
2025-03-09 13:00,2025-03-09 08:00,2025-03-09,8,44783.0
2025-03-09 14:00,2025-03-09 09:00,2025-03-09,9,45791.0
2025-03-09 15:00,2025-03-09 10:00,2025-03-09,10,47191.0
2025-03-09 16:00,2025-03-09 11:00,2025-03-09,11,47849.0
2025-03-09 17:00,2025-03-09 12:00,2025-03-09,12,48077.0
2025-03-09 18:00,2025-03-09 13:00,2025-03-09,13,47805.0
2025-03-09 19:00,2025-03-09 14:00,2025-03-09,14,47391.0
2025-03-09 20:00,2025-03-09 15:00,2025-03-09,15,46877.0
2025-03-09 21:00,2025-03-09 16:00,2025-03-09,16,46092.0
2025-03-09 22:00,2025-03-09 17:00,2025-03-09,17,46033.0
2025-03-09 23:00,2025-03-09 18:00,2025-03-09,18,46211.0
