month,CAISO,ERCOT,PJM,NYISO,NEISO,MISO,SPP
1,10.5,10.5,10.5,10.5,10.5,10.5,10.5
2,10.5,10.5,10.5,10.5,10.5,10.5,10.5
3,10.5,10.5,10.5,10.5,10.5,10.5,10.5
4,10.5,10.5,10.5,10.5,10.5,10.5,10.5
5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
6,10.5,10.5,10.5,10.5,10.5,10.5,10.5
7,10.5,10.5,10.5,10.5,10.5,10.5,10.5
8,10.5,10.5,10.5,10.5,10.5,10.5,10.5
9,10.5,10.5,10.5,10.5,10.5,10.5,10.5
10,10.5,10.5,10.5,10.5,10.5,10.5,10.5
11,10.5,10.5,10.5,10.5,10.5,10.5,10.5
12,10.5,10.5,10.5,10.5,10.5,10.5,10.5
